0,cl,cu
1.0,-0.012,2.263
0.9,-0.122,2.2119999999999997
0.8,-0.231,2.156
0.7,-0.349,2.101
0.6,-0.469,2.045
0.5,-0.603,1.989
0.4,-0.742,1.925
0.3,-0.898,1.861
0.2,-1.063,1.797
0.1,-1.242,1.7269999999999999
0.0,-1.45,1.641
-0.1,-1.679,1.555
-0.2,-1.952,1.462
-0.3,-2.21,1.354
-0.4,-2.516,1.245
-0.5,-2.877,1.109
-0.6,-3.238,0.9640000000000001
-0.7,-3.698,0.787
-0.8,-4.181,0.563
-0.9,-4.724,0.313
-1.0,-5.324,0.027999999999999997
-1.1,-5.932,-0.28800000000000003
-1.2,-6.651,-0.653
-1.3,-7.385,-1.063
-1.4,-8.152999999999999,-1.5030000000000001
-1.5,-8.998,-1.966
-1.6,-9.845,-2.485
-1.7,-10.773,-3.0269999999999997
-1.8,-11.714,-3.64
-1.9,-12.713,-4.226
-2.0,-13.738,-4.925
-2.1,-14.811,-5.6160000000000005
-2.2,-15.9,-6.364
-2.3,-17.07,-7.119
-2.4,-18.261,-7.962000000000001
-2.5,-19.503,-8.79
-2.6,-20.776,-9.687000000000001
-2.7,-22.076,-10.616
-2.8,-23.484,-11.578
-2.9,-24.872,-12.585999999999999
-3.0,-26.261999999999997,-13.63
-3.1,-27.72,-14.7
-3.2,-29.177,-15.786
-3.3,-30.682,-16.945
-3.4,-32.257,-18.125
-3.5,-33.875,-19.331
-3.6,-35.496,-20.572
-3.7,-37.166,-21.855999999999998
-3.8,-38.916,-23.184
-3.9,-40.681999999999995,-24.524
-4.0,-42.408,-25.875999999999998
-4.1,-44.208999999999996,-27.305999999999997
-4.2,-45.998000000000005,-28.759
-4.3,-47.91,-30.236
-4.4,-49.762,-31.776999999999997
-4.5,-51.751000000000005,-33.302
-4.6,-53.802,-34.866
-4.7,-55.655,-36.482
-4.8,-57.70399999999999,-38.144
-4.9,-59.81100000000001,-39.821999999999996
-5.0,-61.893,-41.503
