0,cl,cu
1.0,-0.282,4.148
0.9,-0.395,4.106
0.8,-0.509,4.063
0.7,-0.639,4.021
0.6,-0.7709999999999999,3.977
0.5,-0.919,3.931
0.4,-1.08,3.885
0.3,-1.255,3.84
0.2,-1.44,3.7939999999999996
0.1,-1.653,3.747
0.0,-1.8940000000000001,3.6839999999999997
-0.1,-2.142,3.62
-0.2,-2.43,3.557
-0.3,-2.7319999999999998,3.4930000000000003
-0.4,-3.051,3.4210000000000003
-0.5,-3.4419999999999997,3.35
-0.6,-3.87,3.279
-0.7,-4.332,3.187
-0.8,-4.861000000000001,3.0810000000000004
-0.9,-5.422999999999999,2.958
-1.0,-6.031000000000001,2.784
-1.1,-6.72,2.6039999999999996
-1.2,-7.45,2.384
-1.3,-8.209,2.112
-1.4,-9.048,1.87
-1.5,-9.895,1.581
-1.6,-10.800999999999998,1.2
-1.7,-11.732999999999999,0.8490000000000001
-1.8,-12.720999999999998,0.402
-1.9,-13.732000000000001,-0.036000000000000004
-2.0,-14.833,-0.537
-2.1,-15.966,-1.035
-2.2,-17.135,-1.565
-2.3,-18.319000000000003,-2.176
-2.4,-19.541,-2.8
-2.5,-20.838,-3.505
-2.6,-22.188000000000002,-4.177
-2.7,-23.586,-4.963
-2.8,-24.961,-5.694
-2.9,-26.359,-6.496
-3.0,-27.86,-7.388
-3.1,-29.298000000000002,-8.255
-3.2,-30.831999999999997,-9.107999999999999
-3.3,-32.45,-10.142999999999999
-3.4,-34.036,-11.135
-3.5,-35.669000000000004,-12.144
-3.6,-37.388000000000005,-13.270999999999999
-3.7,-39.168,-14.373
-3.8,-40.906,-15.427999999999999
-3.9,-42.638999999999996,-16.565
-4.0,-44.481,-17.799
-4.1,-46.361999999999995,-18.993
-4.2,-48.211000000000006,-20.204
-4.3,-50.144,-21.555
-4.4,-52.078,-22.910999999999998
-4.5,-54.093999999999994,-24.274
-4.6,-56.038999999999994,-25.659000000000002
-4.7,-58.063,-27.094
-4.8,-60.181000000000004,-28.531
-4.9,-62.272,-29.945
-5.0,-64.454,-31.539
