0,cl,cu
1.0,0.306,1.818
0.9,0.225,1.77
0.8,0.13,1.713
0.7,0.036000000000000004,1.6480000000000001
0.6,-0.07200000000000001,1.584
0.5,-0.188,1.5190000000000001
0.4,-0.312,1.446
0.3,-0.446,1.368
0.2,-0.5920000000000001,1.291
0.1,-0.746,1.206
0.0,-0.9279999999999999,1.113
-0.1,-1.117,1.02
-0.2,-1.32,0.9109999999999999
-0.3,-1.5530000000000002,0.797
-0.4,-1.8419999999999999,0.6579999999999999
-0.5,-2.142,0.503
-0.6,-2.472,0.313
-0.7,-2.8789999999999996,0.08900000000000001
-0.8,-3.326,-0.165
-0.9,-3.825,-0.461
-1.0,-4.367,-0.7809999999999999
-1.1,-4.976,-1.167
-1.2,-5.602,-1.5730000000000002
-1.3,-6.287000000000001,-2.041
-1.4,-7.002000000000001,-2.523
-1.5,-7.814,-3.0469999999999997
-1.6,-8.578,-3.636
-1.7,-9.485,-4.212
-1.8,-10.33,-4.893
-1.9,-11.269,-5.56
-2.0,-12.228,-6.297999999999999
-2.1,-13.255,-7.002000000000001
-2.2,-14.302999999999999,-7.871
-2.3,-15.405999999999999,-8.664
-2.4,-16.539,-9.576
-2.5,-17.705,-10.465
-2.6,-18.923,-11.423
-2.7,-20.165,-12.408
-2.8,-21.445999999999998,-13.432
-2.9,-22.77,-14.485999999999999
-3.0,-24.131,-15.575999999999999
-3.1,-25.541999999999998,-16.718
-3.2,-26.95,-17.892
-3.3,-28.375,-19.097
-3.4,-29.862,-20.320999999999998
-3.5,-31.414,-21.588
-3.6,-33.018,-22.892
-3.7,-34.63,-24.223000000000003
-3.8,-36.227,-25.598000000000003
-3.9,-37.912,-27.024
-4.0,-39.704,-28.468000000000004
-4.1,-41.413999999999994,-29.905
-4.2,-43.135,-31.467
-4.3,-44.91,-32.994
-4.4,-46.75899999999999,-34.537
-4.5,-48.637,-36.16
-4.6,-50.505,-37.819
-4.7,-52.49100000000001,-39.491
-4.8,-54.486000000000004,-41.157
-4.9,-56.402,-42.851000000000006
-5.0,-58.437,-44.608000000000004
