0,cl,cu
1.0,-0.14,2.695
0.9,-0.243,2.6460000000000004
0.8,-0.359,2.597
0.7,-0.475,2.548
0.6,-0.607,2.499
0.5,-0.743,2.441
0.4,-0.893,2.384
0.3,-1.05,2.327
0.2,-1.227,2.27
0.1,-1.4280000000000002,2.199
0.0,-1.6469999999999998,2.12
-0.1,-1.9,2.041
-0.2,-2.161,1.96
-0.3,-2.4419999999999997,1.8780000000000001
-0.4,-2.785,1.795
-0.5,-3.109,1.6909999999999998
-0.6,-3.5189999999999997,1.561
-0.7,-3.9619999999999997,1.4040000000000001
-0.8,-4.46,1.218
-0.9,-5.031000000000001,0.9990000000000001
-1.0,-5.638999999999999,0.768
-1.1,-6.292000000000001,0.473
-1.2,-7.018,0.153
-1.3,-7.796,-0.185
-1.4,-8.542,-0.59
-1.5,-9.395,-1.028
-1.6,-10.289000000000001,-1.473
-1.7,-11.227,-1.9869999999999999
-1.8,-12.177999999999999,-2.5340000000000003
-1.9,-13.190999999999999,-3.111
-2.0,-14.222000000000001,-3.747
-2.1,-15.328,-4.35
-2.2,-16.461,-5.06
-2.3,-17.635,-5.778
-2.4,-18.852,-6.56
-2.5,-20.095,-7.362
-2.6,-21.406,-8.222999999999999
-2.7,-22.774,-9.06
-2.8,-24.180999999999997,-9.964
-2.9,-25.546,-10.914000000000001
-3.0,-26.983,-11.866
-3.1,-28.445999999999998,-12.943
-3.2,-29.886999999999997,-14.04
-3.3,-31.471,-15.105
-3.4,-33.08,-16.188
-3.5,-34.693000000000005,-17.358
-3.6,-36.321,-18.551
-3.7,-38.031,-19.77
-3.8,-39.856,-21.043000000000003
-3.9,-41.58,-22.346999999999998
-4.0,-43.333999999999996,-23.701
-4.1,-45.143,-25.026
-4.2,-47.012,-26.377
-4.3,-48.91,-27.820999999999998
-4.4,-50.839,-29.3
-4.5,-52.841,-30.816999999999997
-4.6,-54.806999999999995,-32.364000000000004
-4.7,-56.748999999999995,-33.915
-4.8,-58.833999999999996,-35.483000000000004
-4.9,-60.918,-37.129
-5.0,-63.033,-38.789
