0,cl,cu
1.0,0.135,1.9369999999999998
0.9,0.048,1.885
0.8,-0.051,1.8330000000000002
0.7,-0.163,1.781
0.6,-0.278,1.7209999999999999
0.5,-0.40299999999999997,1.652
0.4,-0.535,1.5819999999999999
0.3,-0.691,1.5119999999999998
0.2,-0.8490000000000001,1.43
0.1,-1.01,1.3459999999999999
0.0,-1.196,1.262
-0.1,-1.403,1.1640000000000001
-0.2,-1.639,1.064
-0.3,-1.913,0.9540000000000001
-0.4,-2.1919999999999997,0.8270000000000001
-0.5,-2.508,0.6809999999999999
-0.6,-2.884,0.505
-0.7,-3.301,0.29600000000000004
-0.8,-3.7710000000000004,0.046
-0.9,-4.3,-0.23199999999999998
-1.0,-4.871,-0.5589999999999999
-1.1,-5.476,-0.9129999999999999
-1.2,-6.141,-1.3090000000000002
-1.3,-6.862,-1.73
-1.4,-7.631,-2.219
-1.5,-8.397,-2.7439999999999998
-1.6,-9.237,-3.2969999999999997
-1.7,-10.117,-3.89
-1.8,-11.065,-4.506
-1.9,-12.015,-5.181
-2.0,-13.038,-5.9
-2.1,-14.065999999999999,-6.632999999999999
-2.2,-15.164000000000001,-7.417000000000001
-2.3,-16.279,-8.236
-2.4,-17.45,-9.082
-2.5,-18.664,-9.962
-2.6,-19.918,-10.92
-2.7,-21.193,-11.886
-2.8,-22.513,-12.899000000000001
-2.9,-23.906,-13.919
-3.0,-25.296,-15.011
-3.1,-26.711,-16.116
-3.2,-28.153000000000002,-17.284000000000002
-3.3,-29.614,-18.469
-3.4,-31.134,-19.68
-3.5,-32.71,-20.936999999999998
-3.6,-34.335,-22.218000000000004
-3.7,-35.975,-23.545
-3.8,-37.617,-24.896
-3.9,-39.417,-26.275
-4.0,-41.153,-27.721999999999998
-4.1,-42.881,-29.165
-4.2,-44.665,-30.655
-4.3,-46.504,-32.201
-4.4,-48.409,-33.702
-4.5,-50.25899999999999,-35.306999999999995
-4.6,-52.243,-36.951
-4.7,-54.256,-38.618
-4.8,-56.178000000000004,-40.303000000000004
-4.9,-58.18899999999999,-41.97
-5.0,-60.31,-43.673
