0,cl,cu
1.0,0.7290000000000001,1.689
0.9,0.6459999999999999,1.63
0.8,0.563,1.571
0.7,0.478,1.511
0.6,0.38799999999999996,1.4409999999999998
0.5,0.298,1.368
0.4,0.2,1.295
0.3,0.091,1.218
0.2,-0.022000000000000002,1.133
0.1,-0.157,1.0490000000000002
0.0,-0.297,0.9570000000000001
-0.1,-0.452,0.8540000000000001
-0.2,-0.632,0.75
-0.3,-0.83,0.613
-0.4,-1.044,0.47
-0.5,-1.3030000000000002,0.302
-0.6,-1.584,0.102
-0.7,-1.9509999999999998,-0.128
-0.8,-2.3369999999999997,-0.397
-0.9,-2.7760000000000002,-0.7070000000000001
-1.0,-3.263,-1.062
-1.1,-3.779,-1.442
-1.2,-4.351,-1.875
-1.3,-4.9719999999999995,-2.345
-1.4,-5.626,-2.859
-1.5,-6.332999999999999,-3.418
-1.6,-7.057,-3.991
-1.7,-7.867999999999999,-4.636
-1.8,-8.673,-5.295
-1.9,-9.548,-6.001
-2.0,-10.427,-6.718999999999999
-2.1,-11.363,-7.527
-2.2,-12.327,-8.349
-2.3,-13.352,-9.158999999999999
-2.4,-14.402999999999999,-10.06
-2.5,-15.499,-11.013
-2.6,-16.637999999999998,-11.966
-2.7,-17.813,-12.991
-2.8,-19.009,-14.019
-2.9,-20.225,-15.113
-3.0,-21.518,-16.22
-3.1,-22.824,-17.387
-3.2,-24.146,-18.570999999999998
-3.3,-25.558000000000003,-19.773
-3.4,-26.973000000000003,-21.041999999999998
-3.5,-28.408,-22.334
-3.6,-29.888,-23.645
-3.7,-31.414,-25.01
-3.8,-32.991,-26.404
-3.9,-34.580999999999996,-27.819000000000003
-4.0,-36.154,-29.285
-4.1,-37.86,-30.805999999999997
-4.2,-39.617,-32.355
-4.3,-41.294,-33.855
-4.4,-43.018,-35.448
-4.5,-44.798,-37.1
-4.6,-46.636,-38.773
-4.7,-48.53,-40.44
-4.8,-50.32899999999999,-42.11600000000001
-4.9,-52.275,-43.871
-5.0,-54.286,-45.666000000000004
