0,cl,cu
1.0,-0.096,2.524
0.9,-0.203,2.476
0.8,-0.315,2.425
0.7,-0.43200000000000005,2.373
0.6,-0.557,2.3209999999999997
0.5,-0.696,2.27
0.4,-0.843,2.208
0.3,-0.995,2.1390000000000002
0.2,-1.172,2.0709999999999997
0.1,-1.3619999999999999,2.003
0.0,-1.574,1.93
-0.1,-1.819,1.858
-0.2,-2.086,1.785
-0.3,-2.356,1.694
-0.4,-2.702,1.585
-0.5,-3.0189999999999997,1.4680000000000002
-0.6,-3.42,1.3219999999999998
-0.7,-3.875,1.157
-0.8,-4.367,0.972
-0.9,-4.92,0.753
-1.0,-5.522,0.48200000000000004
-1.1,-6.166,0.185
-1.2,-6.89,-0.14
-1.3,-7.644,-0.5329999999999999
-1.4,-8.396,-0.935
-1.5,-9.25,-1.3769999999999998
-1.6,-10.134,-1.844
-1.7,-11.075,-2.383
-1.8,-12.017999999999999,-2.94
-1.9,-13.026,-3.548
-2.0,-14.038,-4.159
-2.1,-15.14,-4.867
-2.2,-16.259,-5.558
-2.3,-17.438,-6.291
-2.4,-18.651,-7.063
-2.5,-19.895,-7.912000000000001
-2.6,-21.188000000000002,-8.748
-2.7,-22.528000000000002,-9.647
-2.8,-23.941999999999997,-10.572000000000001
-2.9,-25.3,-11.534
-3.0,-26.719,-12.549000000000001
-3.1,-28.2,-13.616
-3.2,-29.649,-14.689
-3.3,-31.195999999999998,-15.767000000000001
-3.4,-32.802,-16.923
-3.5,-34.425,-18.104
-3.6,-36.016999999999996,-19.312
-3.7,-37.724000000000004,-20.559
-3.8,-39.531,-21.857
-3.9,-41.273,-23.178
-4.0,-43.025,-24.515
-4.1,-44.821999999999996,-25.874000000000002
-4.2,-46.66,-27.305
-4.3,-48.545,-28.749000000000002
-4.4,-50.461999999999996,-30.211
-4.5,-52.466,-31.76
-4.6,-54.463,-33.3
-4.7,-56.353,-34.864000000000004
-4.8,-58.45399999999999,-36.472
-4.9,-60.538000000000004,-38.135
-5.0,-62.628,-39.798
