0,cl,cu
1.0,0.447,1.758
0.9,0.36700000000000005,1.699
0.8,0.28600000000000003,1.6380000000000001
0.7,0.195,1.577
0.6,0.095,1.516
0.5,-0.006,1.444
0.4,-0.124,1.368
0.3,-0.243,1.2919999999999998
0.2,-0.382,1.2109999999999999
0.1,-0.526,1.123
0.0,-0.6920000000000001,1.035
-0.1,-0.8740000000000001,0.935
-0.2,-1.074,0.8270000000000001
-0.3,-1.2919999999999998,0.708
-0.4,-1.53,0.562
-0.5,-1.8259999999999998,0.397
-0.6,-2.161,0.209
-0.7,-2.532,-0.018000000000000002
-0.8,-2.958,-0.276
-0.9,-3.44,-0.584
-1.0,-3.951,-0.9279999999999999
-1.1,-4.525,-1.306
-1.2,-5.153,-1.7109999999999999
-1.3,-5.806,-2.191
-1.4,-6.51,-2.705
-1.5,-7.278,-3.236
-1.6,-8.037,-3.82
-1.7,-8.881,-4.413
-1.8,-9.74,-5.084
-1.9,-10.642999999999999,-5.782
-2.0,-11.582,-6.52
-2.1,-12.569,-7.29
-2.2,-13.595999999999998,-8.111
-2.3,-14.671,-8.927999999999999
-2.4,-15.776,-9.822000000000001
-2.5,-16.928,-10.739
-2.6,-18.097,-11.690999999999999
-2.7,-19.324,-12.696
-2.8,-20.568,-13.725999999999999
-2.9,-21.831999999999997,-14.800999999999998
-3.0,-23.169,-15.892999999999999
-3.1,-24.54,-17.055999999999997
-3.2,-25.947,-18.233
-3.3,-27.361,-19.441
-3.4,-28.820999999999998,-20.68
-3.5,-30.326,-21.948
-3.6,-31.865,-23.272
-3.7,-33.483000000000004,-24.619
-3.8,-35.08,-25.991
-3.9,-36.717,-27.426
-4.0,-38.441,-28.875
-4.1,-40.194,-30.358
-4.2,-41.863,-31.927
-4.3,-43.606,-33.428000000000004
-4.4,-45.402,-34.995
-4.5,-47.27,-36.631
-4.6,-49.108000000000004,-38.311
-4.7,-50.978,-39.983000000000004
-4.8,-52.963,-41.64
-4.9,-54.952,-43.358999999999995
-5.0,-56.924,-45.145
