0,cl,cu
1.0,-0.012,2.347
0.9,-0.122,2.302
0.8,-0.231,2.256
0.7,-0.349,2.198
0.6,-0.469,2.138
0.5,-0.603,2.079
0.4,-0.742,2.019
0.3,-0.898,1.955
0.2,-1.063,1.889
0.1,-1.242,1.8230000000000002
0.0,-1.45,1.756
-0.1,-1.679,1.666
-0.2,-1.952,1.5730000000000002
-0.3,-2.21,1.474
-0.4,-2.516,1.355
-0.5,-2.877,1.2329999999999999
-0.6,-3.238,1.084
-0.7,-3.698,0.917
-0.8,-4.181,0.7190000000000001
-0.9,-4.724,0.45899999999999996
-1.0,-5.324,0.18600000000000003
-1.1,-5.932,-0.12
-1.2,-6.651,-0.484
-1.3,-7.385,-0.863
-1.4,-8.152999999999999,-1.294
-1.5,-8.998,-1.742
-1.6,-9.845,-2.253
-1.7,-10.773,-2.806
-1.8,-11.714,-3.39
-1.9,-12.713,-4.011
-2.0,-13.738,-4.678999999999999
-2.1,-14.811,-5.332999999999999
-2.2,-15.9,-6.093999999999999
-2.3,-17.07,-6.815
-2.4,-18.261,-7.659
-2.5,-19.503,-8.508
-2.6,-20.776,-9.338
-2.7,-22.076,-10.263
-2.8,-23.484,-11.227
-2.9,-24.872,-12.209000000000001
-3.0,-26.261999999999997,-13.259
-3.1,-27.72,-14.318
-3.2,-29.177,-15.398
-3.3,-30.682,-16.524
-3.4,-32.257,-17.707
-3.5,-33.875,-18.898
-3.6,-35.496,-20.1
-3.7,-37.166,-21.401
-3.8,-38.916,-22.711
-3.9,-40.681999999999995,-24.031999999999996
-4.0,-42.408,-25.391
-4.1,-44.208999999999996,-26.798000000000002
-4.2,-45.998000000000005,-28.245
-4.3,-47.91,-29.701
-4.4,-49.762,-31.232
-4.5,-51.751000000000005,-32.768
-4.6,-53.802,-34.302
-4.7,-55.655,-35.893
-4.8,-57.70399999999999,-37.553000000000004
-4.9,-59.81100000000001,-39.226
-5.0,-61.893,-40.912
