0,cl,cu
1.0,0.02,2.193
0.9,-0.083,2.14
0.8,-0.191,2.0869999999999997
0.7,-0.306,2.0340000000000003
0.6,-0.428,1.979
0.5,-0.5589999999999999,1.9180000000000001
0.4,-0.7,1.857
0.3,-0.853,1.796
0.2,-1.012,1.73
0.1,-1.193,1.6480000000000001
0.0,-1.392,1.565
-0.1,-1.617,1.4780000000000002
-0.2,-1.881,1.376
-0.3,-2.149,1.274
-0.4,-2.4419999999999997,1.153
-0.5,-2.812,1.028
-0.6,-3.162,0.872
-0.7,-3.61,0.691
-0.8,-4.082,0.46
-0.9,-4.625,0.21
-1.0,-5.227,-0.085
-1.1,-5.831,-0.418
-1.2,-6.542999999999999,-0.775
-1.3,-7.289,-1.1909999999999998
-1.4,-8.051,-1.6280000000000001
-1.5,-8.879,-2.115
-1.6,-9.713,-2.6439999999999997
-1.7,-10.624,-3.2060000000000004
-1.8,-11.571,-3.8080000000000003
-1.9,-12.558,-4.421
-2.0,-13.578,-5.102
-2.1,-14.645999999999999,-5.82
-2.2,-15.747,-6.5729999999999995
-2.3,-16.902,-7.352
-2.4,-18.078,-8.17
-2.5,-19.315,-9.033
-2.6,-20.581999999999997,-9.919
-2.7,-21.884,-10.87
-2.8,-23.267,-11.833
-2.9,-24.658,-12.857999999999999
-3.0,-26.05,-13.895
-3.1,-27.504,-14.972000000000001
-3.2,-28.943,-16.059
-3.3,-30.415,-17.236
-3.4,-32.003,-18.426
-3.5,-33.626999999999995,-19.637999999999998
-3.6,-35.246,-20.901999999999997
-3.7,-36.897,-22.194000000000003
-3.8,-38.629,-23.526
-3.9,-40.426,-24.866999999999997
-4.0,-42.136,-26.229
-4.1,-43.903999999999996,-27.671
-4.2,-45.716,-29.131999999999998
-4.3,-47.613,-30.631
-4.4,-49.47,-32.173
-4.5,-51.418,-33.687
-4.6,-53.456,-35.264
-4.7,-55.356,-36.900999999999996
-4.8,-57.361000000000004,-38.578
-4.9,-59.47,-40.257
-5.0,-61.556000000000004,-41.924
