0,cl,cu
1.0,-0.183,2.9360000000000004
0.9,-0.29,2.888
0.8,-0.406,2.84
0.7,-0.524,2.7910000000000004
0.6,-0.6579999999999999,2.742
0.5,-0.797,2.685
0.4,-0.945,2.628
0.3,-1.111,2.571
0.2,-1.294,2.515
0.1,-1.493,2.45
0.0,-1.7169999999999999,2.383
-0.1,-1.98,2.316
-0.2,-2.2319999999999998,2.248
-0.3,-2.535,2.146
-0.4,-2.862,2.045
-0.5,-3.199,1.9409999999999998
-0.6,-3.6319999999999997,1.837
-0.7,-4.084,1.723
-0.8,-4.591,1.56
-0.9,-5.156000000000001,1.355
-1.0,-5.757999999999999,1.114
-1.1,-6.42,0.857
-1.2,-7.185,0.5479999999999999
-1.3,-7.93,0.203
-1.4,-8.712,-0.149
-1.5,-9.543,-0.565
-1.6,-10.452,-1.005
-1.7,-11.386,-1.4669999999999999
-1.8,-12.345999999999998,-1.9980000000000002
-1.9,-13.359000000000002,-2.5580000000000003
-2.0,-14.409,-3.135
-2.1,-15.524000000000001,-3.783
-2.2,-16.676,-4.428999999999999
-2.3,-17.855,-5.127000000000001
-2.4,-19.074,-5.864
-2.5,-20.322,-6.632000000000001
-2.6,-21.643,-7.462999999999999
-2.7,-23.031999999999996,-8.327
-2.8,-24.429000000000002,-9.157
-2.9,-25.79,-10.106
-3.0,-27.246,-11.065
-3.1,-28.706,-12.027000000000001
-3.2,-30.17,-13.130999999999998
-3.3,-31.773000000000003,-14.227
-3.4,-33.38,-15.294
-3.5,-34.994,-16.402
-3.6,-36.65,-17.589000000000002
-3.7,-38.396,-18.796
-3.8,-40.222,-20.015
-3.9,-41.891000000000005,-21.33
-4.0,-43.681000000000004,-22.63
-4.1,-45.507,-23.913
-4.2,-47.393,-25.256
-4.3,-49.294,-26.646
-4.4,-51.229,-28.09
-4.5,-53.225,-29.588
-4.6,-55.187,-31.116
-4.7,-57.18,-32.662
-4.8,-59.253,-34.221
-4.9,-61.33,-35.797
-5.0,-63.478,-37.451
