0,cl,cu
1.0,-0.14,2.728
0.9,-0.243,2.678
0.8,-0.359,2.628
0.7,-0.475,2.5780000000000003
0.6,-0.607,2.529
0.5,-0.743,2.475
0.4,-0.893,2.416
0.3,-1.05,2.358
0.2,-1.227,2.3
0.1,-1.4280000000000002,2.238
0.0,-1.6469999999999998,2.157
-0.1,-1.9,2.075
-0.2,-2.161,1.994
-0.3,-2.4419999999999997,1.909
-0.4,-2.785,1.824
-0.5,-3.109,1.732
-0.6,-3.5189999999999997,1.598
-0.7,-3.9619999999999997,1.45
-0.8,-4.46,1.262
-0.9,-5.031000000000001,1.044
-1.0,-5.638999999999999,0.81
-1.1,-6.292000000000001,0.523
-1.2,-7.018,0.204
-1.3,-7.796,-0.128
-1.4,-8.542,-0.537
-1.5,-9.395,-0.965
-1.6,-10.289000000000001,-1.409
-1.7,-11.227,-1.916
-1.8,-12.177999999999999,-2.457
-1.9,-13.190999999999999,-3.0380000000000003
-2.0,-14.222000000000001,-3.656
-2.1,-15.328,-4.263
-2.2,-16.461,-4.99
-2.3,-17.635,-5.695
-2.4,-18.852,-6.471
-2.5,-20.095,-7.269
-2.6,-21.406,-8.119
-2.7,-22.774,-8.982999999999999
-2.8,-24.180999999999997,-9.861
-2.9,-25.546,-10.808
-3.0,-26.983,-11.754000000000001
-3.1,-28.445999999999998,-12.812999999999999
-3.2,-29.886999999999997,-13.913
-3.3,-31.471,-14.985999999999999
-3.4,-33.08,-16.061
-3.5,-34.693000000000005,-17.233
-3.6,-36.321,-18.42
-3.7,-38.031,-19.637
-3.8,-39.856,-20.908
-3.9,-41.58,-22.211
-4.0,-43.333999999999996,-23.559
-4.1,-45.143,-24.885
-4.2,-47.012,-26.221
-4.3,-48.91,-27.676
-4.4,-50.839,-29.145
-4.5,-52.841,-30.648000000000003
-4.6,-54.806999999999995,-32.191
-4.7,-56.748999999999995,-33.74
-4.8,-58.833999999999996,-35.312
-4.9,-60.918,-36.946
-5.0,-63.033,-38.611
