0,cl,cu
1.0,0.106,1.9909999999999999
0.9,0.021,1.9380000000000002
0.8,-0.084,1.885
0.7,-0.196,1.8319999999999999
0.6,-0.314,1.7790000000000001
0.5,-0.439,1.7180000000000002
0.4,-0.5770000000000001,1.6440000000000001
0.3,-0.7290000000000001,1.571
0.2,-0.887,1.4980000000000002
0.1,-1.053,1.41
0.0,-1.239,1.3230000000000002
-0.1,-1.4509999999999998,1.232
-0.2,-1.692,1.129
-0.3,-1.97,1.025
-0.4,-2.248,0.899
-0.5,-2.5869999999999997,0.7659999999999999
-0.6,-2.944,0.584
-0.7,-3.3739999999999997,0.379
-0.8,-3.84,0.141
-0.9,-4.369,-0.135
-1.0,-4.94,-0.45799999999999996
-1.1,-5.559,-0.794
-1.2,-6.239,-1.19
-1.3,-6.961,-1.619
-1.4,-7.761,-2.095
-1.5,-8.493,-2.6010000000000004
-1.6,-9.368,-3.1489999999999996
-1.7,-10.236,-3.7460000000000004
-1.8,-11.184000000000001,-4.327
-1.9,-12.142000000000001,-5.0089999999999995
-2.0,-13.158,-5.702999999999999
-2.1,-14.190999999999999,-6.468999999999999
-2.2,-15.298,-7.212000000000001
-2.3,-16.427,-8.04
-2.4,-17.593,-8.865
-2.5,-18.817999999999998,-9.773
-2.6,-20.076,-10.690999999999999
-2.7,-21.357,-11.652999999999999
-2.8,-22.695,-12.659
-2.9,-24.09,-13.69
-3.0,-25.471999999999998,-14.763
-3.1,-26.894000000000002,-15.853
-3.2,-28.342,-17.012
-3.3,-29.799,-18.188
-3.4,-31.331999999999997,-19.404
-3.5,-32.926,-20.647
-3.6,-34.559,-21.916
-3.7,-36.196999999999996,-23.241999999999997
-3.8,-37.834,-24.586
-3.9,-39.66,-25.947
-4.0,-41.379,-27.393
-4.1,-43.126999999999995,-28.834
-4.2,-44.92,-30.291999999999998
-4.3,-46.778999999999996,-31.855999999999998
-4.4,-48.674,-33.363
-4.5,-50.534,-34.933
-4.6,-52.521,-36.567
-4.7,-54.518,-38.23
-4.8,-56.448,-39.921
-4.9,-58.49100000000001,-41.591
-5.0,-60.606,-43.286
