0,cl,cu
1.0,-0.052000000000000005,2.392
0.9,-0.161,2.345
0.8,-0.272,2.298
0.7,-0.39,2.25
0.6,-0.509,2.19
0.5,-0.6459999999999999,2.129
0.4,-0.789,2.068
0.3,-0.9470000000000001,2.0069999999999997
0.2,-1.1179999999999999,1.939
0.1,-1.301,1.871
0.0,-1.5030000000000001,1.8019999999999998
-0.1,-1.7409999999999999,1.7269999999999999
-0.2,-2.021,1.63
-0.3,-2.2769999999999997,1.534
-0.4,-2.603,1.4180000000000001
-0.5,-2.9419999999999997,1.2930000000000001
-0.6,-3.33,1.146
-0.7,-3.785,0.9840000000000001
-0.8,-4.277,0.787
-0.9,-4.824,0.537
-1.0,-5.417000000000001,0.27
-1.1,-6.042999999999999,-0.036000000000000004
-1.2,-6.769,-0.389
-1.3,-7.484,-0.752
-1.4,-8.259,-1.194
-1.5,-9.117,-1.645
-1.6,-9.985,-2.146
-1.7,-10.923,-2.693
-1.8,-11.864,-3.266
-1.9,-12.870999999999999,-3.884
-2.0,-13.889000000000001,-4.52
-2.1,-14.97,-5.185
-2.2,-16.064,-5.942
-2.3,-17.248,-6.688
-2.4,-18.454,-7.48
-2.5,-19.699,-8.323
-2.6,-20.976999999999997,-9.162
-2.7,-22.293000000000003,-10.084
-2.8,-23.711,-11.048
-2.9,-25.088,-12.014000000000001
-3.0,-26.487,-13.068
-3.1,-27.951999999999998,-14.125
-3.2,-29.404,-15.198
-3.3,-30.926,-16.299
-3.4,-32.516999999999996,-17.485
-3.5,-34.153,-18.674
-3.6,-35.76,-19.866
-3.7,-37.441,-21.155
-3.8,-39.213,-22.468000000000004
-3.9,-40.963,-23.8
-4.0,-42.706,-25.143
-4.1,-44.508,-26.528000000000002
-4.2,-46.325,-27.983
-4.3,-48.226000000000006,-29.434
-4.4,-50.097,-30.949
-4.5,-52.093999999999994,-32.496
-4.6,-54.115,-34.024
-4.7,-56.001000000000005,-35.606
-4.8,-58.063,-37.258
-4.9,-60.177,-38.928000000000004
-5.0,-62.26,-40.603
