0,cl,cu
1.0,-0.627,4.992
0.9,-0.753,4.954
0.8,-0.892,4.916
0.7,-1.036,4.879
0.6,-1.196,4.841
0.5,-1.371,4.803
0.4,-1.56,4.765
0.3,-1.7630000000000001,4.723
0.2,-2.005,4.678
0.1,-2.221,4.632
0.0,-2.5340000000000003,4.587
-0.1,-2.819,4.542
-0.2,-3.116,4.495
-0.3,-3.463,4.436
-0.4,-3.8760000000000003,4.376
-0.5,-4.289,4.316
-0.6,-4.758,4.256
-0.7,-5.292999999999999,4.166
-0.8,-5.779,4.072
-0.9,-6.415,3.967
-1.0,-7.122000000000001,3.827
-1.1,-7.836,3.6830000000000003
-1.2,-8.527999999999999,3.532
-1.3,-9.362,3.352
-1.4,-10.199,3.1319999999999997
-1.5,-11.147,2.87
-1.6,-12.102,2.583
-1.7,-13.124,2.2030000000000003
-1.8,-14.155,1.8840000000000001
-1.9,-15.242,1.492
-2.0,-16.365,1.087
-2.1,-17.574,0.594
-2.2,-18.783,0.10400000000000001
-2.3,-19.991,-0.413
-2.4,-21.328000000000003,-1.02
-2.5,-22.704,-1.51
-2.6,-24.112,-2.2430000000000003
-2.7,-25.456999999999997,-2.846
-2.8,-26.912,-3.609
-2.9,-28.436,-4.303999999999999
-3.0,-29.943,-5.118
-3.1,-31.535999999999998,-5.936
-3.2,-33.097,-6.837000000000001
-3.3,-34.717,-7.832999999999999
-3.4,-36.43,-8.621
-3.5,-38.121,-9.597000000000001
-3.6,-39.948,-10.627
-3.7,-41.707,-11.626
-3.8,-43.497,-12.72
-3.9,-45.364,-13.87
-4.0,-47.207,-14.964
-4.1,-49.147,-16.058
-4.2,-51.119,-17.293
-4.3,-53.097,-18.514
-4.4,-55.107,-19.717
-4.5,-57.12,-21.066999999999997
-4.6,-59.173,-22.421999999999997
-4.7,-61.303999999999995,-23.698
-4.8,-63.574,-25.123
-4.9,-65.635,-26.584
-5.0,-67.777,-28.03
