0,cl,cu
1.0,0.601,1.725
0.9,0.521,1.665
0.8,0.43700000000000006,1.605
0.7,0.35100000000000003,1.545
0.6,0.265,1.4809999999999999
0.5,0.165,1.406
0.4,0.061,1.331
0.3,-0.053,1.256
0.2,-0.182,1.171
0.1,-0.318,1.085
0.0,-0.46399999999999997,0.9990000000000001
-0.1,-0.636,0.893
-0.2,-0.8240000000000001,0.7879999999999999
-0.3,-1.0270000000000001,0.659
-0.4,-1.263,0.517
-0.5,-1.515,0.348
-0.6,-1.8430000000000002,0.155
-0.7,-2.209,-0.073
-0.8,-2.61,-0.336
-0.9,-3.065,-0.6459999999999999
-1.0,-3.572,-0.993
-1.1,-4.11,-1.376
-1.2,-4.7219999999999995,-1.788
-1.3,-5.347,-2.265
-1.4,-6.004,-2.785
-1.5,-6.7379999999999995,-3.3289999999999997
-1.6,-7.485,-3.906
-1.7,-8.273,-4.518
-1.8,-9.121,-5.192
-1.9,-10.001,-5.895
-2.0,-10.942,-6.617000000000001
-2.1,-11.883,-7.405
-2.2,-12.899000000000001,-8.227
-2.3,-13.925999999999998,-9.052
-2.4,-15.017000000000001,-9.937999999999999
-2.5,-16.12,-10.877
-2.6,-17.285999999999998,-11.83
-2.7,-18.471,-12.845
-2.8,-19.685,-13.874
-2.9,-20.953000000000003,-14.960999999999999
-3.0,-22.244,-16.06
-3.1,-23.555999999999997,-17.222
-3.2,-24.934,-18.399
-3.3,-26.346,-19.605999999999998
-3.4,-27.765,-20.86
-3.5,-29.241999999999997,-22.142
-3.6,-30.754,-23.465999999999998
-3.7,-32.306,-24.818
-3.8,-33.928000000000004,-26.198
-3.9,-35.494,-27.621
-4.0,-37.162,-29.076
-4.1,-38.894,-30.576
-4.2,-40.622,-32.133
-4.3,-42.328,-33.64
-4.4,-44.076,-35.221
-4.5,-45.864,-36.866
-4.6,-47.787,-38.545
-4.7,-49.582,-40.209
-4.8,-51.482,-41.883
-4.9,-53.483000000000004,-43.611999999999995
-5.0,-55.419,-45.409
