0,cl,cu
1.0,-0.183,3.161
0.9,-0.29,3.1210000000000004
0.8,-0.406,3.0810000000000004
0.7,-0.524,3.0410000000000004
0.6,-0.6579999999999999,3.002
0.5,-0.797,2.947
0.4,-0.945,2.892
0.3,-1.111,2.8369999999999997
0.2,-1.294,2.782
0.1,-1.493,2.719
0.0,-1.7169999999999999,2.6460000000000004
-0.1,-1.98,2.573
-0.2,-2.2319999999999998,2.499
-0.3,-2.535,2.416
-0.4,-2.862,2.333
-0.5,-3.199,2.25
-0.6,-3.6319999999999997,2.122
-0.7,-4.084,1.993
-0.8,-4.591,1.8519999999999999
-0.9,-5.156000000000001,1.696
-1.0,-5.757999999999999,1.499
-1.1,-6.42,1.23
-1.2,-7.185,0.945
-1.3,-7.93,0.634
-1.4,-8.712,0.273
-1.5,-9.543,-0.099
-1.6,-10.452,-0.535
-1.7,-11.386,-0.978
-1.8,-12.345999999999998,-1.46
-1.9,-13.359000000000002,-2.0
-2.0,-14.409,-2.563
-2.1,-15.524000000000001,-3.1660000000000004
-2.2,-16.676,-3.83
-2.3,-17.855,-4.503
-2.4,-19.074,-5.185
-2.5,-20.322,-5.957999999999999
-2.6,-21.643,-6.723
-2.7,-23.031999999999996,-7.582999999999999
-2.8,-24.429000000000002,-8.435
-2.9,-25.79,-9.269
-3.0,-27.246,-10.264000000000001
-3.1,-28.706,-11.225999999999999
-3.2,-30.17,-12.218
-3.3,-31.773000000000003,-13.337
-3.4,-33.38,-14.435
-3.5,-34.994,-15.503
-3.6,-36.65,-16.631
-3.7,-38.396,-17.811
-3.8,-40.222,-19.012999999999998
-3.9,-41.891000000000005,-20.245
-4.0,-43.681000000000004,-21.594
-4.1,-45.507,-22.894000000000002
-4.2,-47.393,-24.185
-4.3,-49.294,-25.558000000000003
-4.4,-51.229,-26.947
-4.5,-53.225,-28.377
-4.6,-55.187,-29.912
-4.7,-57.18,-31.436
-4.8,-59.253,-32.992
-4.9,-61.33,-34.56
-5.0,-63.478,-36.123000000000005
