0,cl,cu
1.0,0.106,1.954
0.9,0.021,1.902
0.8,-0.084,1.85
0.7,-0.196,1.797
0.6,-0.314,1.743
0.5,-0.439,1.673
0.4,-0.5770000000000001,1.6019999999999999
0.3,-0.7290000000000001,1.5319999999999998
0.2,-0.887,1.453
0.1,-1.053,1.368
0.0,-1.239,1.2830000000000001
-0.1,-1.4509999999999998,1.187
-0.2,-1.692,1.085
-0.3,-1.97,0.9790000000000001
-0.4,-2.248,0.851
-0.5,-2.5869999999999997,0.711
-0.6,-2.944,0.53
-0.7,-3.3739999999999997,0.32299999999999995
-0.8,-3.84,0.077
-0.9,-4.369,-0.201
-1.0,-4.94,-0.528
-1.1,-5.559,-0.873
-1.2,-6.239,-1.268
-1.3,-6.961,-1.6909999999999998
-1.4,-7.761,-2.177
-1.5,-8.493,-2.697
-1.6,-9.368,-3.2460000000000004
-1.7,-10.236,-3.844
-1.8,-11.184000000000001,-4.449
-1.9,-12.142000000000001,-5.122999999999999
-2.0,-13.158,-5.832000000000001
-2.1,-14.190999999999999,-6.582000000000001
-2.2,-15.298,-7.351
-2.3,-16.427,-8.172
-2.4,-17.593,-9.025
-2.5,-18.817999999999998,-9.901
-2.6,-20.076,-10.845
-2.7,-21.357,-11.809000000000001
-2.8,-22.695,-12.819
-2.9,-24.09,-13.841
-3.0,-25.471999999999998,-14.925
-3.1,-26.894000000000002,-16.023
-3.2,-28.342,-17.192999999999998
-3.3,-29.799,-18.375
-3.4,-31.331999999999997,-19.586
-3.5,-32.926,-20.840999999999998
-3.6,-34.559,-22.123
-3.7,-36.196999999999996,-23.445999999999998
-3.8,-37.834,-24.793000000000003
-3.9,-39.66,-26.166
-4.0,-41.379,-27.607
-4.1,-43.126999999999995,-29.055
-4.2,-44.92,-30.54
-4.3,-46.778999999999996,-32.089
-4.4,-48.674,-33.589
-4.5,-50.534,-35.184
-4.6,-52.521,-36.830999999999996
-4.7,-54.518,-38.499
-4.8,-56.448,-40.179
-4.9,-58.49100000000001,-41.847
-5.0,-60.606,-43.54
