0,cl,cu
1.0,-0.183,3.013
0.9,-0.29,2.969
0.8,-0.406,2.9189999999999996
0.7,-0.524,2.87
0.6,-0.6579999999999999,2.821
0.5,-0.797,2.772
0.4,-0.945,2.716
0.3,-1.111,2.654
0.2,-1.294,2.593
0.1,-1.493,2.531
0.0,-1.7169999999999999,2.465
-0.1,-1.98,2.394
-0.2,-2.2319999999999998,2.323
-0.3,-2.535,2.251
-0.4,-2.862,2.142
-0.5,-3.199,2.032
-0.6,-3.6319999999999997,1.919
-0.7,-4.084,1.804
-0.8,-4.591,1.6580000000000001
-0.9,-5.156000000000001,1.4780000000000002
-1.0,-5.757999999999999,1.235
-1.1,-6.42,0.968
-1.2,-7.185,0.684
-1.3,-7.93,0.33399999999999996
-1.4,-8.712,-0.003
-1.5,-9.543,-0.429
-1.6,-10.452,-0.831
-1.7,-11.386,-1.3019999999999998
-1.8,-12.345999999999998,-1.829
-1.9,-13.359000000000002,-2.373
-2.0,-14.409,-2.957
-2.1,-15.524000000000001,-3.589
-2.2,-16.676,-4.216
-2.3,-17.855,-4.953
-2.4,-19.074,-5.66
-2.5,-20.322,-6.428999999999999
-2.6,-21.643,-7.246
-2.7,-23.031999999999996,-8.111
-2.8,-24.429000000000002,-8.954
-2.9,-25.79,-9.863999999999999
-3.0,-27.246,-10.815
-3.1,-28.706,-11.770999999999999
-3.2,-30.17,-12.847999999999999
-3.3,-31.773000000000003,-13.963
-3.4,-33.38,-15.025
-3.5,-34.994,-16.095
-3.6,-36.65,-17.287
-3.7,-38.396,-18.487000000000002
-3.8,-40.222,-19.698
-3.9,-41.891000000000005,-20.994
-4.0,-43.681000000000004,-22.307
-4.1,-45.507,-23.587
-4.2,-47.393,-24.929000000000002
-4.3,-49.294,-26.31
-4.4,-51.229,-27.721999999999998
-4.5,-53.225,-29.205
-4.6,-55.187,-30.724
-4.7,-57.18,-32.266999999999996
-4.8,-59.253,-33.828
-4.9,-61.33,-35.400999999999996
-5.0,-63.478,-37.029
