0,cl,cu
1.0,0.506,1.743
0.9,0.424,1.682
0.8,0.342,1.621
0.7,0.26,1.56
0.6,0.162,1.5
0.5,0.062,1.425
0.4,-0.047,1.35
0.3,-0.171,1.275
0.2,-0.301,1.192
0.1,-0.442,1.104
0.0,-0.603,1.0170000000000001
-0.1,-0.779,0.914
-0.2,-0.972,0.807
-0.3,-1.188,0.6829999999999999
-0.4,-1.4240000000000002,0.539
-0.5,-1.705,0.37200000000000005
-0.6,-2.037,0.18100000000000002
-0.7,-2.406,-0.046
-0.8,-2.8280000000000003,-0.307
-0.9,-3.293,-0.614
-1.0,-3.806,-0.961
-1.1,-4.367,-1.3419999999999999
-1.2,-4.982,-1.746
-1.3,-5.622999999999999,-2.227
-1.4,-6.3229999999999995,-2.747
-1.5,-7.05,-3.283
-1.6,-7.851,-3.864
-1.7,-8.642000000000001,-4.4639999999999995
-1.8,-9.53,-5.138
-1.9,-10.392999999999999,-5.84
-2.0,-11.335,-6.57
-2.1,-12.300999999999998,-7.346
-2.2,-13.325999999999999,-8.169
-2.3,-14.376,-9.002
-2.4,-15.477,-9.882
-2.5,-16.61,-10.81
-2.6,-17.772000000000002,-11.759
-2.7,-18.989,-12.769
-2.8,-20.227,-13.800999999999998
-2.9,-21.496,-14.882
-3.0,-22.8,-15.975
-3.1,-24.136999999999997,-17.139
-3.2,-25.557,-18.317
-3.3,-26.971999999999998,-19.524
-3.4,-28.406999999999996,-20.77
-3.5,-29.903000000000002,-22.041
-3.6,-31.428,-23.37
-3.7,-33.019,-24.72
-3.8,-34.629,-26.094
-3.9,-36.228,-27.528000000000002
-4.0,-37.941,-28.979
-4.1,-39.694,-30.471
-4.2,-41.391000000000005,-32.031
-4.3,-43.103,-33.534
-4.4,-44.873999999999995,-35.111
-4.5,-46.729,-36.755
-4.6,-48.597,-38.434
-4.7,-50.416000000000004,-40.098
-4.8,-52.381,-41.763999999999996
-4.9,-54.394,-43.49
-5.0,-56.333,-45.275
