0,cl,cu
1.0,0.24,1.867
0.9,0.149,1.818
0.8,0.057999999999999996,1.768
0.7,-0.042,1.7080000000000002
0.6,-0.156,1.641
0.5,-0.273,1.574
0.4,-0.402,1.507
0.3,-0.539,1.4280000000000002
0.2,-0.695,1.347
0.1,-0.861,1.265
0.0,-1.036,1.173
-0.1,-1.23,1.078
-0.2,-1.44,0.978
-0.3,-1.696,0.8590000000000001
-0.4,-1.9909999999999999,0.736
-0.5,-2.28,0.574
-0.6,-2.648,0.391
-0.7,-3.029,0.177
-0.8,-3.4960000000000004,-0.078
-0.9,-3.995,-0.366
-1.0,-4.569,-0.685
-1.1,-5.191,-1.062
-1.2,-5.814,-1.4669999999999999
-1.3,-6.52,-1.912
-1.4,-7.279,-2.394
-1.5,-8.032,-2.9210000000000003
-1.6,-8.882,-3.491
-1.7,-9.74,-4.079
-1.8,-10.622,-4.762
-1.9,-11.562999999999999,-5.396
-2.0,-12.549000000000001,-6.132999999999999
-2.1,-13.573,-6.841
-2.2,-14.648,-7.684
-2.3,-15.76,-8.505
-2.4,-16.906,-9.333
-2.5,-18.066,-10.248
-2.6,-19.31,-11.209000000000001
-2.7,-20.572,-12.181
-2.8,-21.857,-13.206
-2.9,-23.217,-14.245999999999999
-3.0,-24.595,-15.338
-3.1,-25.984,-16.464000000000002
-3.2,-27.429000000000002,-17.642
-3.3,-28.896,-18.838
-3.4,-30.391,-20.043
-3.5,-31.93,-21.315
-3.6,-33.56,-22.608
-3.7,-35.163000000000004,-23.928
-3.8,-36.795,-25.295
-3.9,-38.505,-26.703000000000003
-4.0,-40.291,-28.15
-4.1,-42.028999999999996,-29.592
-4.2,-43.75,-31.118000000000002
-4.3,-45.54600000000001,-32.656
-4.4,-47.418,-34.176
-4.5,-49.275,-35.801
-4.6,-51.218,-37.455999999999996
-4.7,-53.224,-39.128
-4.8,-55.181000000000004,-40.799
-4.9,-57.148,-42.477
-5.0,-59.211000000000006,-44.20399999999999
