0,cl,cu
1.0,0.049,2.086
0.9,-0.046,2.037
0.8,-0.156,1.985
0.7,-0.268,1.929
0.6,-0.391,1.8719999999999999
0.5,-0.516,1.815
0.4,-0.66,1.758
0.3,-0.809,1.6840000000000002
0.2,-0.9670000000000001,1.607
0.1,-1.145,1.5290000000000001
0.0,-1.339,1.4409999999999998
-0.1,-1.556,1.3459999999999999
-0.2,-1.8130000000000002,1.251
-0.3,-2.093,1.14
-0.4,-2.375,1.028
-0.5,-2.74,0.889
-0.6,-3.083,0.738
-0.7,-3.523,0.53
-0.8,-3.987,0.301
-0.9,-4.515,0.035
-1.0,-5.122000000000001,-0.265
-1.1,-5.735,-0.614
-1.2,-6.44,-1.004
-1.3,-7.187,-1.411
-1.4,-7.945,-1.8559999999999999
-1.5,-8.753,-2.3569999999999998
-1.6,-9.605,-2.9
-1.7,-10.492,-3.4739999999999998
-1.8,-11.439,-4.073
-1.9,-12.414000000000001,-4.777
-2.0,-13.43,-5.422000000000001
-2.1,-14.485,-6.157
-2.2,-15.591,-6.867999999999999
-2.3,-16.736,-7.739
-2.4,-17.904,-8.541
-2.5,-19.147000000000002,-9.397
-2.6,-20.408,-10.31
-2.7,-21.693,-11.270999999999999
-2.8,-23.061,-12.249
-2.9,-24.456,-13.283
-3.0,-25.851999999999997,-14.331
-3.1,-27.291999999999998,-15.414000000000001
-3.2,-28.74,-16.539
-3.3,-30.205,-17.713
-3.4,-31.771,-18.92
-3.5,-33.38,-20.146
-3.6,-35.010999999999996,-21.427
-3.7,-36.662,-22.729
-3.8,-38.356,-24.051
-3.9,-40.162,-25.408
-4.0,-41.879,-26.816999999999997
-4.1,-43.648999999999994,-28.27
-4.2,-45.443999999999996,-29.726999999999997
-4.3,-47.333999999999996,-31.268
-4.4,-49.193000000000005,-32.794000000000004
-4.5,-51.115,-34.312
-4.6,-53.138999999999996,-35.916
-4.7,-55.083,-37.586999999999996
-4.8,-57.034,-39.257
-4.9,-59.132,-40.934
-5.0,-61.221000000000004,-42.626000000000005
