0,cl,cu
1.0,-0.228,3.2939999999999996
0.9,-0.34,3.2539999999999996
0.8,-0.455,3.2110000000000003
0.7,-0.58,3.168
0.6,-0.7120000000000001,3.1239999999999997
0.5,-0.855,3.08
0.4,-1.004,3.037
0.3,-1.178,2.991
0.2,-1.364,2.93
0.1,-1.567,2.8689999999999998
0.0,-1.7990000000000002,2.8080000000000003
-0.1,-2.062,2.747
-0.2,-2.322,2.6639999999999997
-0.3,-2.637,2.58
-0.4,-2.949,2.497
-0.5,-3.3080000000000003,2.398
-0.6,-3.7489999999999997,2.298
-0.7,-4.209,2.174
-0.8,-4.735,2.026
-0.9,-5.292999999999999,1.869
-1.0,-5.882999999999999,1.695
-1.1,-6.562,1.472
-1.2,-7.319,1.176
-1.3,-8.065,0.87
-1.4,-8.883,0.521
-1.5,-9.722999999999999,0.14800000000000002
-1.6,-10.619000000000002,-0.259
-1.7,-11.550999999999998,-0.677
-1.8,-12.527000000000001,-1.177
-1.9,-13.546,-1.6969999999999998
-2.0,-14.618,-2.221
-2.1,-15.732999999999999,-2.8339999999999996
-2.2,-16.894000000000002,-3.483
-2.3,-18.072,-4.111000000000001
-2.4,-19.301,-4.853
-2.5,-20.570999999999998,-5.577999999999999
-2.6,-21.895,-6.332999999999999
-2.7,-23.311,-7.147
-2.8,-24.699,-8.057
-2.9,-26.059,-8.869
-3.0,-27.543000000000003,-9.811
-3.1,-28.991999999999997,-10.767000000000001
-3.2,-30.478,-11.73
-3.3,-32.089,-12.802
-3.4,-33.704,-13.917
-3.5,-35.327,-15.001
-3.6,-37.006,-16.090999999999998
-3.7,-38.773,-17.273
-3.8,-40.552,-18.464000000000002
-3.9,-42.239,-19.67
-4.0,-44.044,-20.976999999999997
-4.1,-45.908,-22.309
-4.2,-47.797,-23.596999999999998
-4.3,-49.71,-24.939
-4.4,-51.663000000000004,-26.311999999999998
-4.5,-53.659,-27.701999999999998
-4.6,-55.614,-29.221999999999998
-4.7,-57.614,-30.76
-4.8,-59.71,-32.288000000000004
-4.9,-61.771,-33.854
-5.0,-63.942,-35.419000000000004
