0,cl,cu
1.0,-0.096,2.577
0.9,-0.203,2.531
0.8,-0.315,2.483
0.7,-0.43200000000000005,2.4290000000000003
0.6,-0.557,2.376
0.5,-0.696,2.322
0.4,-0.843,2.2680000000000002
0.3,-0.995,2.204
0.2,-1.172,2.133
0.1,-1.3619999999999999,2.062
0.0,-1.574,1.9909999999999999
-0.1,-1.819,1.915
-0.2,-2.086,1.839
-0.3,-2.356,1.7630000000000001
-0.4,-2.702,1.656
-0.5,-3.0189999999999997,1.541
-0.6,-3.42,1.399
-0.7,-3.875,1.238
-0.8,-4.367,1.045
-0.9,-4.92,0.83
-1.0,-5.522,0.5720000000000001
-1.1,-6.166,0.27899999999999997
-1.2,-6.89,-0.044000000000000004
-1.3,-7.644,-0.429
-1.4,-8.396,-0.8109999999999999
-1.5,-9.25,-1.258
-1.6,-10.134,-1.7180000000000002
-1.7,-11.075,-2.253
-1.8,-12.017999999999999,-2.8089999999999997
-1.9,-13.026,-3.3960000000000004
-2.0,-14.038,-4.035
-2.1,-15.14,-4.7330000000000005
-2.2,-16.259,-5.388
-2.3,-17.438,-6.127999999999999
-2.4,-18.651,-6.879
-2.5,-19.895,-7.747000000000001
-2.6,-21.188000000000002,-8.585
-2.7,-22.528000000000002,-9.457
-2.8,-23.941999999999997,-10.377
-2.9,-25.3,-11.337
-3.0,-26.719,-12.332
-3.1,-28.2,-13.405
-3.2,-29.649,-14.477
-3.3,-31.195999999999998,-15.549000000000001
-3.4,-32.802,-16.685
-3.5,-34.425,-17.867
-3.6,-36.016999999999996,-19.075
-3.7,-37.724000000000004,-20.302
-3.8,-39.531,-21.581999999999997
-3.9,-41.273,-22.9
-4.0,-43.025,-24.241
-4.1,-44.821999999999996,-25.601999999999997
-4.2,-46.66,-27.005
-4.3,-48.545,-28.44
-4.4,-50.461999999999996,-29.903000000000002
-4.5,-52.466,-31.447
-4.6,-54.463,-33.0
-4.7,-56.353,-34.56
-4.8,-58.45399999999999,-36.135999999999996
-4.9,-60.538000000000004,-37.812
-5.0,-62.628,-39.463
