0,cl,cu
1.0,-0.14,2.792
0.9,-0.243,2.7489999999999997
0.8,-0.359,2.697
0.7,-0.475,2.6460000000000004
0.6,-0.607,2.594
0.5,-0.743,2.542
0.4,-0.893,2.489
0.3,-1.05,2.428
0.2,-1.227,2.367
0.1,-1.4280000000000002,2.306
0.0,-1.6469999999999998,2.2430000000000003
-0.1,-1.9,2.155
-0.2,-2.161,2.0669999999999997
-0.3,-2.4419999999999997,1.979
-0.4,-2.785,1.889
-0.5,-3.109,1.7990000000000002
-0.6,-3.5189999999999997,1.685
-0.7,-3.9619999999999997,1.54
-0.8,-4.46,1.3530000000000002
-0.9,-5.031000000000001,1.139
-1.0,-5.638999999999999,0.905
-1.1,-6.292000000000001,0.633
-1.2,-7.018,0.305
-1.3,-7.796,-0.013000000000000001
-1.4,-8.542,-0.413
-1.5,-9.395,-0.812
-1.6,-10.289000000000001,-1.262
-1.7,-11.227,-1.768
-1.8,-12.177999999999999,-2.298
-1.9,-13.190999999999999,-2.8789999999999996
-2.0,-14.222000000000001,-3.487
-2.1,-15.328,-4.125
-2.2,-16.461,-4.8389999999999995
-2.3,-17.635,-5.52
-2.4,-18.852,-6.24
-2.5,-20.095,-7.045
-2.6,-21.406,-7.92
-2.7,-22.774,-8.754
-2.8,-24.180999999999997,-9.647
-2.9,-25.546,-10.579
-3.0,-26.983,-11.526
-3.1,-28.445999999999998,-12.550999999999998
-3.2,-29.886999999999997,-13.655999999999999
-3.3,-31.471,-14.74
-3.4,-33.08,-15.815
-3.5,-34.693000000000005,-16.977
-3.6,-36.321,-18.16
-3.7,-38.031,-19.37
-3.8,-39.856,-20.623
-3.9,-41.58,-21.925
-4.0,-43.333999999999996,-23.252
-4.1,-45.143,-24.58
-4.2,-47.012,-25.906999999999996
-4.3,-48.91,-27.344
-4.4,-50.839,-28.805999999999997
-4.5,-52.841,-30.293000000000003
-4.6,-54.806999999999995,-31.833000000000002
-4.7,-56.748999999999995,-33.393
-4.8,-58.833999999999996,-34.964
-4.9,-60.918,-36.573
-5.0,-63.033,-38.238
