0,cl,cu
1.0,0.34700000000000003,1.8019999999999998
0.9,0.26899999999999996,1.755
0.8,0.177,1.693
0.7,0.081,1.629
0.6,-0.018000000000000002,1.5659999999999998
0.5,-0.134,1.5019999999999998
0.4,-0.249,1.425
0.3,-0.386,1.348
0.2,-0.526,1.271
0.1,-0.6829999999999999,1.1840000000000002
0.0,-0.855,1.093
-0.1,-1.044,1.001
-0.2,-1.245,0.889
-0.3,-1.4680000000000002,0.777
-0.4,-1.742,0.633
-0.5,-2.053,0.47600000000000003
-0.6,-2.377,0.289
-0.7,-2.782,0.062
-0.8,-3.213,-0.192
-0.9,-3.713,-0.49200000000000005
-1.0,-4.242,-0.8190000000000001
-1.1,-4.854,-1.2
-1.2,-5.4639999999999995,-1.608
-1.3,-6.1339999999999995,-2.079
-1.4,-6.856,-2.568
-1.5,-7.632999999999999,-3.091
-1.6,-8.408999999999999,-3.6830000000000003
-1.7,-9.235,-4.261
-1.8,-10.137,-4.936
-1.9,-11.079,-5.612
-2.0,-12.023,-6.357
-2.1,-13.052,-7.086
-2.2,-14.085999999999999,-7.9270000000000005
-2.3,-15.183,-8.715
-2.4,-16.3,-9.636000000000001
-2.5,-17.475,-10.535
-2.6,-18.678,-11.493
-2.7,-19.905,-12.482000000000001
-2.8,-21.186,-13.505999999999998
-2.9,-22.494,-14.565999999999999
-3.0,-23.843000000000004,-15.66
-3.1,-25.238000000000003,-16.804000000000002
-3.2,-26.649,-17.972
-3.3,-28.074,-19.179000000000002
-3.4,-29.568,-20.407
-3.5,-31.095,-21.678
-3.6,-32.669000000000004,-22.988000000000003
-3.7,-34.281,-24.324
-3.8,-35.859,-25.7
-3.9,-37.555,-27.125999999999998
-4.0,-39.317,-28.566
-4.1,-41.051,-30.006999999999998
-4.2,-42.77,-31.576999999999998
-4.3,-44.523999999999994,-33.102
-4.4,-46.346000000000004,-34.653
-4.5,-48.233999999999995,-36.28
-4.6,-50.063,-37.953
-4.7,-52.028,-39.615
-4.8,-54.06100000000001,-41.273999999999994
-4.9,-55.943999999999996,-42.977
-5.0,-57.967,-44.744
