0,cl,cu
1.0,0.387,1.787
0.9,0.308,1.7369999999999999
0.8,0.22399999999999998,1.6740000000000002
0.7,0.127,1.611
0.6,0.03,1.548
0.5,-0.081,1.4809999999999999
0.4,-0.19899999999999998,1.405
0.3,-0.327,1.328
0.2,-0.46399999999999997,1.252
0.1,-0.619,1.162
0.0,-0.784,1.073
-0.1,-0.973,0.9790000000000001
-0.2,-1.177,0.868
-0.3,-1.3980000000000001,0.757
-0.4,-1.655,0.609
-0.5,-1.964,0.449
-0.6,-2.2880000000000003,0.264
-0.7,-2.68,0.035
-0.8,-3.105,-0.22
-0.9,-3.6010000000000004,-0.522
-1.0,-4.121,-0.857
-1.1,-4.732,-1.236
-1.2,-5.341,-1.642
-1.3,-5.985,-2.116
-1.4,-6.7170000000000005,-2.614
-1.5,-7.452999999999999,-3.138
-1.6,-8.271,-3.7310000000000003
-1.7,-9.097000000000001,-4.31
-1.8,-9.966000000000001,-4.977
-1.9,-10.901,-5.671
-2.0,-11.841,-6.417000000000001
-2.1,-12.857000000000001,-7.162999999999999
-2.2,-13.888,-7.9879999999999995
-2.3,-14.98,-8.777999999999999
-2.4,-16.085,-9.699
-2.5,-17.25,-10.606
-2.6,-18.438,-11.562000000000001
-2.7,-19.668,-12.555
-2.8,-20.934,-13.577
-2.9,-22.226,-14.642999999999999
-3.0,-23.569000000000003,-15.738
-3.1,-24.956,-16.89
-3.2,-26.366,-18.062
-3.3,-27.787,-19.267
-3.4,-29.269000000000002,-20.499000000000002
-3.5,-30.78,-21.771
-3.6,-32.326,-23.081999999999997
-3.7,-33.953,-24.42
-3.8,-35.537,-25.801
-3.9,-37.198,-27.229
-4.0,-38.941,-28.668000000000003
-4.1,-40.689,-30.122
-4.2,-42.393,-31.691
-4.3,-44.138999999999996,-33.208
-4.4,-45.95,-34.764
-4.5,-47.854,-36.395
-4.6,-49.666000000000004,-38.073
-4.7,-51.582,-39.735
-4.8,-53.598,-41.397
-4.9,-55.537,-43.104
-5.0,-57.545,-44.873000000000005
