0,cl,cu
1.0,-0.183,3.083
0.9,-0.29,3.0460000000000003
0.8,-0.406,3.008
0.7,-0.524,2.9589999999999996
0.6,-0.6579999999999999,2.906
0.5,-0.797,2.8539999999999996
0.4,-0.945,2.801
0.3,-1.111,2.748
0.2,-1.294,2.682
0.1,-1.493,2.615
0.0,-1.7169999999999999,2.549
-0.1,-1.98,2.479
-0.2,-2.2319999999999998,2.403
-0.3,-2.535,2.327
-0.4,-2.862,2.251
-0.5,-3.199,2.136
-0.6,-3.6319999999999997,2.021
-0.7,-4.084,1.8940000000000001
-0.8,-4.591,1.7630000000000001
-0.9,-5.156000000000001,1.5830000000000002
-1.0,-5.757999999999999,1.358
-1.1,-6.42,1.091
-1.2,-7.185,0.8140000000000001
-1.3,-7.93,0.478
-1.4,-8.712,0.125
-1.5,-9.543,-0.27399999999999997
-1.6,-10.452,-0.675
-1.7,-11.386,-1.143
-1.8,-12.345999999999998,-1.6580000000000001
-1.9,-13.359000000000002,-2.175
-2.0,-14.409,-2.7539999999999996
-2.1,-15.524000000000001,-3.38
-2.2,-16.676,-4.043
-2.3,-17.855,-4.771
-2.4,-19.074,-5.439
-2.5,-20.322,-6.175
-2.6,-21.643,-6.962999999999999
-2.7,-23.031999999999996,-7.882000000000001
-2.8,-24.429000000000002,-8.695
-2.9,-25.79,-9.606
-3.0,-27.246,-10.554
-3.1,-28.706,-11.514000000000001
-3.2,-30.17,-12.548
-3.3,-31.773000000000003,-13.66
-3.4,-33.38,-14.739
-3.5,-34.994,-15.802999999999999
-3.6,-36.65,-16.963
-3.7,-38.396,-18.149
-3.8,-40.222,-19.359
-3.9,-41.891000000000005,-20.625999999999998
-4.0,-43.681000000000004,-21.958000000000002
-4.1,-45.507,-23.247
-4.2,-47.393,-24.569000000000003
-4.3,-49.294,-25.939
-4.4,-51.229,-27.340999999999998
-4.5,-53.225,-28.803
-4.6,-55.187,-30.325
-4.7,-57.18,-31.868000000000002
-4.8,-59.253,-33.425
-4.9,-61.33,-34.991
-5.0,-63.478,-36.593
