0,cl,cu
1.0,-0.228,3.4619999999999997
0.9,-0.34,3.418
0.8,-0.455,3.373
0.7,-0.58,3.3280000000000003
0.6,-0.7120000000000001,3.284
0.5,-0.855,3.238
0.4,-1.004,3.188
0.3,-1.178,3.139
0.2,-1.364,3.089
0.1,-1.567,3.04
0.0,-1.7990000000000002,2.986
-0.1,-2.062,2.9139999999999997
-0.2,-2.322,2.841
-0.3,-2.637,2.7689999999999997
-0.4,-2.949,2.6830000000000003
-0.5,-3.3080000000000003,2.593
-0.6,-3.7489999999999997,2.502
-0.7,-4.209,2.375
-0.8,-4.735,2.246
-0.9,-5.292999999999999,2.062
-1.0,-5.882999999999999,1.8840000000000001
-1.1,-6.562,1.695
-1.2,-7.319,1.4369999999999998
-1.3,-8.065,1.133
-1.4,-8.883,0.795
-1.5,-9.722999999999999,0.429
-1.6,-10.619000000000002,0.035
-1.7,-11.550999999999998,-0.41200000000000003
-1.8,-12.527000000000001,-0.823
-1.9,-13.546,-1.348
-2.0,-14.618,-1.8869999999999998
-2.1,-15.732999999999999,-2.465
-2.2,-16.894000000000002,-3.075
-2.3,-18.072,-3.742
-2.4,-19.301,-4.42
-2.5,-20.570999999999998,-5.118
-2.6,-21.895,-5.9239999999999995
-2.7,-23.311,-6.69
-2.8,-24.699,-7.544
-2.9,-26.059,-8.42
-3.0,-27.543000000000003,-9.247
-3.1,-28.991999999999997,-10.253
-3.2,-30.478,-11.225999999999999
-3.3,-32.089,-12.225
-3.4,-33.704,-13.331
-3.5,-35.327,-14.434000000000001
-3.6,-37.006,-15.535
-3.7,-38.773,-16.676
-3.8,-40.552,-17.847
-3.9,-42.239,-19.035999999999998
-4.0,-44.044,-20.262999999999998
-4.1,-45.908,-21.64
-4.2,-47.797,-22.95
-4.3,-49.71,-24.250999999999998
-4.4,-51.663000000000004,-25.623
-4.5,-53.659,-27.018
-4.6,-55.614,-28.458000000000002
-4.7,-57.614,-29.985
-4.8,-59.71,-31.511
-4.9,-61.771,-33.053000000000004
-5.0,-63.942,-34.615
