0,cl,cu
1.0,-0.282,4.26
0.9,-0.395,4.2219999999999995
0.8,-0.509,4.177
0.7,-0.639,4.132
0.6,-0.7709999999999999,4.088
0.5,-0.919,4.043
0.4,-1.08,3.9989999999999997
0.3,-1.255,3.948
0.2,-1.44,3.8960000000000004
0.1,-1.653,3.845
0.0,-1.8940000000000001,3.7939999999999996
-0.1,-2.142,3.741
-0.2,-2.43,3.675
-0.3,-2.7319999999999998,3.609
-0.4,-3.051,3.543
-0.5,-3.4419999999999997,3.47
-0.6,-3.87,3.385
-0.7,-4.332,3.299
-0.8,-4.861000000000001,3.199
-0.9,-5.422999999999999,3.08
-1.0,-6.031000000000001,2.935
-1.1,-6.72,2.738
-1.2,-7.45,2.541
-1.3,-8.209,2.27
-1.4,-9.048,2.0
-1.5,-9.895,1.7619999999999998
-1.6,-10.800999999999998,1.3840000000000001
-1.7,-11.732999999999999,1.018
-1.8,-12.720999999999998,0.598
-1.9,-13.732000000000001,0.152
-2.0,-14.833,-0.312
-2.1,-15.966,-0.7929999999999999
-2.2,-17.135,-1.3769999999999998
-2.3,-18.319000000000003,-1.9809999999999999
-2.4,-19.541,-2.5980000000000003
-2.5,-20.838,-3.242
-2.6,-22.188000000000002,-3.97
-2.7,-23.586,-4.711
-2.8,-24.961,-5.41
-2.9,-26.359,-6.2139999999999995
-3.0,-27.86,-7.041
-3.1,-29.298000000000002,-8.066
-3.2,-30.831999999999997,-8.836
-3.3,-32.45,-9.83
-3.4,-34.036,-10.825999999999999
-3.5,-35.669000000000004,-11.802999999999999
-3.6,-37.388000000000005,-12.915999999999999
-3.7,-39.168,-14.057
-3.8,-40.906,-15.11
-3.9,-42.638999999999996,-16.19
-4.0,-44.481,-17.412
-4.1,-46.361999999999995,-18.624000000000002
-4.2,-48.211000000000006,-19.827
-4.3,-50.144,-21.166
-4.4,-52.078,-22.513
-4.5,-54.093999999999994,-23.837
-4.6,-56.038999999999994,-25.237
-4.7,-58.063,-26.666
-4.8,-60.181000000000004,-28.113000000000003
-4.9,-62.272,-29.528000000000002
-5.0,-64.454,-31.057
