0,cl,cu
1.0,-0.096,2.633
0.9,-0.203,2.5860000000000003
0.8,-0.315,2.54
0.7,-0.43200000000000005,2.492
0.6,-0.557,2.436
0.5,-0.696,2.38
0.4,-0.843,2.325
0.3,-0.995,2.269
0.2,-1.172,2.202
0.1,-1.3619999999999999,2.128
0.0,-1.574,2.0540000000000003
-0.1,-1.819,1.9780000000000002
-0.2,-2.086,1.8980000000000001
-0.3,-2.356,1.819
-0.4,-2.702,1.734
-0.5,-3.0189999999999997,1.6130000000000002
-0.6,-3.42,1.489
-0.7,-3.875,1.32
-0.8,-4.367,1.127
-0.9,-4.92,0.9109999999999999
-1.0,-5.522,0.669
-1.1,-6.166,0.373
-1.2,-6.89,0.059000000000000004
-1.3,-7.644,-0.307
-1.4,-8.396,-0.696
-1.5,-9.25,-1.1420000000000001
-1.6,-10.134,-1.6059999999999999
-1.7,-11.075,-2.116
-1.8,-12.017999999999999,-2.6710000000000003
-1.9,-13.026,-3.248
-2.0,-14.038,-3.8939999999999997
-2.1,-15.14,-4.531000000000001
-2.2,-16.259,-5.2
-2.3,-17.438,-5.975
-2.4,-18.651,-6.707999999999999
-2.5,-19.895,-7.546
-2.6,-21.188000000000002,-8.406
-2.7,-22.528000000000002,-9.214
-2.8,-23.941999999999997,-10.172
-2.9,-25.3,-11.13
-3.0,-26.719,-12.097999999999999
-3.1,-28.2,-13.179
-3.2,-29.649,-14.258
-3.3,-31.195999999999998,-15.328
-3.4,-32.802,-16.437
-3.5,-34.425,-17.608
-3.6,-36.016999999999996,-18.813
-3.7,-37.724000000000004,-20.035
-3.8,-39.531,-21.316
-3.9,-41.273,-22.624000000000002
-4.0,-43.025,-23.965
-4.1,-44.821999999999996,-25.305
-4.2,-46.66,-26.694000000000003
-4.3,-48.545,-28.136999999999997
-4.4,-50.461999999999996,-29.604
-4.5,-52.466,-31.131
-4.6,-54.463,-32.69
-4.7,-56.353,-34.258
-4.8,-58.45399999999999,-35.817
-4.9,-60.538000000000004,-37.476
-5.0,-62.628,-39.135
