0,cl,cu
1.0,0.02,2.242
0.9,-0.083,2.187
0.8,-0.191,2.133
0.7,-0.306,2.0780000000000003
0.6,-0.428,2.023
0.5,-0.5589999999999999,1.964
0.4,-0.7,1.901
0.3,-0.853,1.837
0.2,-1.012,1.774
0.1,-1.193,1.6980000000000002
0.0,-1.392,1.614
-0.1,-1.617,1.53
-0.2,-1.881,1.431
-0.3,-2.149,1.3259999999999998
-0.4,-2.4419999999999997,1.213
-0.5,-2.812,1.08
-0.6,-3.162,0.932
-0.7,-3.61,0.759
-0.8,-4.082,0.528
-0.9,-4.625,0.281
-1.0,-5.227,-0.012
-1.1,-5.831,-0.331
-1.2,-6.542999999999999,-0.6940000000000001
-1.3,-7.289,-1.1059999999999999
-1.4,-8.051,-1.544
-1.5,-8.879,-2.0180000000000002
-1.6,-9.713,-2.537
-1.7,-10.624,-3.0860000000000003
-1.8,-11.571,-3.696
-1.9,-12.558,-4.288
-2.0,-13.578,-4.9830000000000005
-2.1,-14.645999999999999,-5.681
-2.2,-15.747,-6.444
-2.3,-16.902,-7.205
-2.4,-18.078,-8.035
-2.5,-19.315,-8.881
-2.6,-20.581999999999997,-9.757
-2.7,-21.884,-10.698
-2.8,-23.267,-11.663
-2.9,-24.658,-12.68
-3.0,-26.05,-13.722999999999999
-3.1,-27.504,-14.796
-3.2,-28.943,-15.88
-3.3,-30.415,-17.045
-3.4,-32.003,-18.226
-3.5,-33.626999999999995,-19.437
-3.6,-35.246,-20.680999999999997
-3.7,-36.897,-21.956
-3.8,-38.629,-23.296999999999997
-3.9,-40.426,-24.644000000000002
-4.0,-42.136,-25.991999999999997
-4.1,-43.903999999999996,-27.433000000000003
-4.2,-45.716,-28.885
-4.3,-47.613,-30.366
-4.4,-49.47,-31.916
-4.5,-51.418,-33.431
-4.6,-53.456,-35.001
-4.7,-55.356,-36.628
-4.8,-57.361000000000004,-38.294000000000004
-4.9,-59.47,-39.961999999999996
-5.0,-61.556000000000004,-41.655
