0,cl,cu
1.0,0.049,2.128
0.9,-0.046,2.077
0.8,-0.156,2.026
0.7,-0.268,1.972
0.6,-0.391,1.913
0.5,-0.516,1.855
0.4,-0.66,1.797
0.3,-0.809,1.734
0.2,-0.9670000000000001,1.653
0.1,-1.145,1.5730000000000002
0.0,-1.339,1.4909999999999999
-0.1,-1.556,1.395
-0.2,-1.8130000000000002,1.2990000000000002
-0.3,-2.093,1.192
-0.4,-2.375,1.075
-0.5,-2.74,0.945
-0.6,-3.083,0.792
-0.7,-3.523,0.59
-0.8,-3.987,0.361
-0.9,-4.515,0.099
-1.0,-5.122000000000001,-0.193
-1.1,-5.735,-0.539
-1.2,-6.44,-0.912
-1.3,-7.187,-1.321
-1.4,-7.945,-1.755
-1.5,-8.753,-2.262
-1.6,-9.605,-2.803
-1.7,-10.492,-3.3680000000000003
-1.8,-11.439,-3.971
-1.9,-12.414000000000001,-4.64
-2.0,-13.43,-5.29
-2.1,-14.485,-6.037000000000001
-2.2,-15.591,-6.75
-2.3,-16.736,-7.571000000000001
-2.4,-17.904,-8.402000000000001
-2.5,-19.147000000000002,-9.213
-2.6,-20.408,-10.15
-2.7,-21.693,-11.116
-2.8,-23.061,-12.088
-2.9,-24.456,-13.117
-3.0,-25.851999999999997,-14.154000000000002
-3.1,-27.291999999999998,-15.239
-3.2,-28.74,-16.352999999999998
-3.3,-30.205,-17.532
-3.4,-31.771,-18.73
-3.5,-33.38,-19.941
-3.6,-35.010999999999996,-21.221999999999998
-3.7,-36.662,-22.52
-3.8,-38.356,-23.840999999999998
-3.9,-40.162,-25.189
-4.0,-41.879,-26.581999999999997
-4.1,-43.648999999999994,-28.035
-4.2,-45.443999999999996,-29.497
-4.3,-47.333999999999996,-31.019000000000002
-4.4,-49.193000000000005,-32.555
-4.5,-51.115,-34.067
-4.6,-53.138999999999996,-35.663000000000004
-4.7,-55.083,-37.313
-4.8,-57.034,-38.988
-4.9,-59.132,-40.666
-5.0,-61.221000000000004,-42.343999999999994
