0,cl,cu
1.0,-0.14,2.859
0.9,-0.243,2.8139999999999996
0.8,-0.359,2.7689999999999997
0.7,-0.475,2.719
0.6,-0.607,2.6639999999999997
0.5,-0.743,2.61
0.4,-0.893,2.555
0.3,-1.05,2.501
0.2,-1.227,2.436
0.1,-1.4280000000000002,2.372
0.0,-1.6469999999999998,2.307
-0.1,-1.9,2.24
-0.2,-2.161,2.149
-0.3,-2.4419999999999997,2.057
-0.4,-2.785,1.964
-0.5,-3.109,1.867
-0.6,-3.5189999999999997,1.77
-0.7,-3.9619999999999997,1.625
-0.8,-4.46,1.4569999999999999
-0.9,-5.031000000000001,1.244
-1.0,-5.638999999999999,1.0070000000000001
-1.1,-6.292000000000001,0.7509999999999999
-1.2,-7.018,0.42100000000000004
-1.3,-7.796,0.095
-1.4,-8.542,-0.282
-1.5,-9.395,-0.68
-1.6,-10.289000000000001,-1.139
-1.7,-11.227,-1.6280000000000001
-1.8,-12.177999999999999,-2.149
-1.9,-13.190999999999999,-2.7110000000000003
-2.0,-14.222000000000001,-3.304
-2.1,-15.328,-3.9760000000000004
-2.2,-16.461,-4.662
-2.3,-17.635,-5.303
-2.4,-18.852,-6.062
-2.5,-20.095,-6.835
-2.6,-21.406,-7.712999999999999
-2.7,-22.774,-8.542
-2.8,-24.180999999999997,-9.416
-2.9,-25.546,-10.349
-3.0,-26.983,-11.302999999999999
-3.1,-28.445999999999998,-12.297
-3.2,-29.886999999999997,-13.398
-3.3,-31.471,-14.485
-3.4,-33.08,-15.557
-3.5,-34.693000000000005,-16.694000000000003
-3.6,-36.321,-17.875999999999998
-3.7,-38.031,-19.086
-3.8,-39.856,-20.322
-3.9,-41.58,-21.629
-4.0,-43.333999999999996,-22.932
-4.1,-45.143,-24.241999999999997
-4.2,-47.012,-25.589000000000002
-4.3,-48.91,-27.002
-4.4,-50.839,-28.456
-4.5,-52.841,-29.941
-4.6,-54.806999999999995,-31.474
-4.7,-56.748999999999995,-33.024
-4.8,-58.833999999999996,-34.594
-4.9,-60.918,-36.194
-5.0,-63.033,-37.855
