0,cl,cu
1.0,0.162,1.9
0.9,0.073,1.85
0.8,-0.02,1.7990000000000002
0.7,-0.131,1.7469999999999999
0.6,-0.243,1.679
0.5,-0.369,1.611
0.4,-0.49700000000000005,1.5430000000000001
0.3,-0.652,1.47
0.2,-0.8109999999999999,1.3880000000000001
0.1,-0.973,1.305
0.0,-1.156,1.218
-0.1,-1.355,1.12
-0.2,-1.5830000000000002,1.022
-0.3,-1.8559999999999999,0.905
-0.4,-2.137,0.782
-0.5,-2.4459999999999997,0.626
-0.6,-2.83,0.449
-0.7,-3.236,0.24
-0.8,-3.705,-0.013999999999999999
-0.9,-4.226,-0.301
-1.0,-4.801,-0.622
-1.1,-5.403,-0.99
-1.2,-6.044,-1.391
-1.3,-6.772,-1.82
-1.4,-7.499,-2.305
-1.5,-8.302,-2.833
-1.6,-9.144,-3.3930000000000002
-1.7,-10.001,-3.987
-1.8,-10.952,-4.643
-1.9,-11.902000000000001,-5.294
-2.0,-12.913,-6.023
-2.1,-13.931,-6.734
-2.2,-15.023,-7.5489999999999995
-2.3,-16.13,-8.371
-2.4,-17.298,-9.189
-2.5,-18.504,-10.106
-2.6,-19.765,-11.068
-2.7,-21.029,-12.032
-2.8,-22.323,-13.054
-2.9,-23.717,-14.082
-3.0,-25.114,-15.174000000000001
-3.1,-26.526,-16.287
-3.2,-27.964000000000002,-17.465
-3.3,-29.428,-18.658
-3.4,-30.938000000000002,-19.866
-3.5,-32.504,-21.127
-3.6,-34.133,-22.413
-3.7,-35.763000000000005,-23.739
-3.8,-37.404,-25.1
-3.9,-39.176,-26.493000000000002
-4.0,-40.935,-27.934
-4.1,-42.647,-29.378
-4.2,-44.411,-30.883000000000003
-4.3,-46.233000000000004,-32.423
-4.4,-48.156000000000006,-33.93
-4.5,-49.974,-35.554
-4.6,-51.955,-37.208
-4.7,-53.981,-38.879
-4.8,-55.903999999999996,-40.551
-4.9,-57.928999999999995,-42.216
-5.0,-60.031000000000006,-43.934
