0,cl,cu
1.0,0.19,1.8840000000000001
0.9,0.1,1.834
0.8,0.01,1.784
0.7,-0.10099999999999999,1.7280000000000002
0.6,-0.213,1.66
0.5,-0.337,1.5930000000000002
0.4,-0.467,1.526
0.3,-0.615,1.449
0.2,-0.77,1.367
0.1,-0.934,1.286
0.0,-1.114,1.195
-0.1,-1.31,1.0979999999999999
-0.2,-1.527,1.002
-0.3,-1.798,0.8809999999999999
-0.4,-2.089,0.7609999999999999
-0.5,-2.391,0.599
-0.6,-2.775,0.419
-0.7,-3.162,0.20800000000000002
-0.8,-3.636,-0.047
-0.9,-4.1419999999999995,-0.33299999999999996
-1.0,-4.731,-0.655
-1.1,-5.334,-1.0270000000000001
-1.2,-5.962000000000001,-1.43
-1.3,-6.684,-1.8659999999999999
-1.4,-7.4270000000000005,-2.35
-1.5,-8.21,-2.878
-1.6,-9.059,-3.444
-1.7,-9.91,-4.033
-1.8,-10.835999999999999,-4.708
-1.9,-11.785,-5.346
-2.0,-12.789000000000001,-6.077999999999999
-2.1,-13.81,-6.784
-2.2,-14.899000000000001,-7.6160000000000005
-2.3,-16.004,-8.442
-2.4,-17.168,-9.244
-2.5,-18.355999999999998,-10.174
-2.6,-19.601,-11.137
-2.7,-20.869,-12.107000000000001
-2.8,-22.16,-13.13
-2.9,-23.545,-14.164000000000001
-3.0,-24.936,-15.259
-3.1,-26.340999999999998,-16.38
-3.2,-27.781,-17.553
-3.3,-29.243000000000002,-18.747
-3.4,-30.744,-19.953
-3.5,-32.302,-21.223000000000003
-3.6,-33.944,-22.513
-3.7,-35.556,-23.834
-3.8,-37.196,-25.197
-3.9,-38.936,-26.598000000000003
-4.0,-40.711,-28.043000000000003
-4.1,-42.428000000000004,-29.480999999999998
-4.2,-44.188,-31.000999999999998
-4.3,-45.99,-32.545
-4.4,-47.902,-34.054
-4.5,-49.736999999999995,-35.68
-4.6,-51.695,-37.335
-4.7,-53.713,-39.006
-4.8,-55.651,-40.679
-4.9,-57.63399999999999,-42.353
-5.0,-59.739,-44.062
