0,cl,cu
1.0,0.264,1.834
0.9,0.175,1.786
0.8,0.08199999999999999,1.734
0.7,-0.012,1.669
0.6,-0.127,1.6030000000000002
0.5,-0.242,1.537
0.4,-0.37200000000000005,1.466
0.3,-0.503,1.3869999999999998
0.2,-0.659,1.3090000000000002
0.1,-0.823,1.227
0.0,-0.9990000000000001,1.133
-0.1,-1.192,1.0390000000000001
-0.2,-1.399,0.9329999999999999
-0.3,-1.6480000000000001,0.816
-0.4,-1.939,0.6829999999999999
-0.5,-2.229,0.527
-0.6,-2.5860000000000003,0.33899999999999997
-0.7,-2.972,0.11900000000000001
-0.8,-3.438,-0.13699999999999998
-0.9,-3.94,-0.43
-1.0,-4.492,-0.745
-1.1,-5.112,-1.133
-1.2,-5.746,-1.5390000000000001
-1.3,-6.438,-2.003
-1.4,-7.185,-2.476
-1.5,-7.956,-3.0039999999999996
-1.6,-8.787,-3.588
-1.7,-9.655,-4.168
-1.8,-10.523,-4.849
-1.9,-11.466,-5.499
-2.0,-12.445,-6.2410000000000005
-2.1,-13.469000000000001,-6.947
-2.2,-14.534,-7.812
-2.3,-15.64,-8.613
-2.4,-16.781,-9.509
-2.5,-17.938,-10.390999999999998
-2.6,-19.175,-11.350999999999999
-2.7,-20.429000000000002,-12.331
-2.8,-21.706999999999997,-13.353
-2.9,-23.061999999999998,-14.402000000000001
-3.0,-24.445,-15.495
-3.1,-25.842,-16.632
-3.2,-27.261999999999997,-17.805999999999997
-3.3,-28.715,-19.011
-3.4,-30.208000000000002,-20.233
-3.5,-31.76,-21.5
-3.6,-33.379,-22.796999999999997
-3.7,-34.98,-24.119
-3.8,-36.596,-25.502
-3.9,-38.295,-26.92
-4.0,-40.088,-28.358
-4.1,-41.818000000000005,-29.802
-4.2,-43.54600000000001,-31.349
-4.3,-45.339,-32.878
-4.4,-47.19,-34.412
-4.5,-49.05,-36.031
-4.6,-50.968999999999994,-37.704
-4.7,-52.973,-39.375
-4.8,-54.93899999999999,-41.043
-4.9,-56.898,-42.729
-5.0,-58.955,-44.468999999999994
