time	ret	ldp	lep	rf	yield
1943.00	0.1898651065	-2.9536519973	-2.5768287931	0.0036433549	0.0237320970
1943.25	0.0781566010	-3.0144312078	-2.6226342256	0.0036433549	0.0234424209
1943.50	-0.0116628105	-2.9832889711	-2.5828444510	0.0036433549	0.0231503222
1943.75	-0.0120750423	-2.9514171646	-2.5347127540	0.0036433549	0.0236371060
1944.00	0.0449719892	-2.9730085611	-2.5524446733	0.0035935355	0.0236371060
1944.25	0.0874143682	-3.0284859706	-2.6178658971	0.0035935355	0.0235397682
1944.50	-0.0006949245	-3.0147766271	-2.5915721376	0.0036234275	0.0234224889
1944.75	0.0583305356	-3.0365071073	-2.6185241046	0.0036234275	0.0237261859
1945.00	0.0404349356	-3.0661330128	-2.6408918559	0.0036234275	0.0224484944
1945.25	0.0960952040	-3.1525455643	-2.7283927469	0.0036234275	0.0223510428
1945.50	0.0823329732	-3.2107846578	-2.7996852119	0.0036234275	0.0224484944
1945.75	0.1022866117	-3.3161737633	-2.8667474914	0.0036234275	0.0223510428
1946.00	0.0586850818	-3.3436008188	-2.9068789362	0.0036732454	0.0209857217
1946.25	0.0393745179	-3.3779021461	-2.9344376136	0.0036732454	0.0211808818
1946.50	-0.1986186242	-3.1596816279	-2.7305884512	0.0036732454	0.0220586309
1946.75	0.0356934506	-3.1120879440	-2.7515276889	0.0036732454	0.0226002217
1947.00	-0.0147475801	-3.0578665030	-2.7435155292	0.0036732454	0.0217661334
1947.25	-0.0078516405	-2.9774893395	-2.7449796166	0.0036732454	0.0217661334
1947.50	0.0168320729	-2.9373292002	-2.7321416150	0.0082359909	0.0183328961
1947.75	0.0332956840	-2.8899384364	-2.7235132386	0.0094947816	0.0194173234
1948.00	-0.0053104803	-2.8296177211	-2.6801264427	0.0099008247	0.0181645648
1948.25	0.1063340664	-2.9084969778	-2.7547553019	0.0099503309	0.0173845722
1948.50	-0.0805427286	-2.7933945196	-2.6420117516	0.0060715309	0.0221911251
1948.75	-0.0060574219	-2.7214971444	-2.5901465706	0.0114047183	0.0164196994
1949.00	0.0109850071	-2.6969210553	-2.5473627625	0.0115035794	0.0152965340
1949.25	-0.0455183602	-2.6208737469	-2.4517117520	0.0108014537	0.0161456090
1949.50	0.1089596764	-2.7092687071	-2.5154268044	0.0105046326	0.0152719706
1949.75	0.0986446610	-2.7511191019	-2.5637716503	0.0108014537	0.0149285821
1950.00	0.0399132423	-2.7674919305	-2.5721178469	0.0113552840	0.0143251624
1950.25	0.0203118798	-2.7646211369	-2.5677231273	0.0116123153	0.0143689658
1950.50	0.1097295934	-2.7743602354	-2.6310177543	0.0132123315	0.0130524680
1950.75	0.0793645374	-2.7354773758	-2.6470509773	0.0135675432	0.0129006220
1951.00	0.0468352330	-2.7466477519	-2.6674712268	0.0150757871	0.0126699236
1951.25	-0.0036547846	-2.7045273260	-2.6220979487	0.0156764794	0.0141170528
1951.50	0.1174319496	-2.8258293652	-2.7059028951	0.0165719240	0.0119536976
1951.75	0.0133715051	-2.9082369606	-2.7040615320	0.0177318573	0.0128086007
1952.00	0.0311850400	-2.9076901103	-2.7079681465	0.0152235318	0.0148139261
1952.25	0.0167501934	-2.8962990383	-2.7107581913	0.0175255269	0.0114800606
