time	ret	ldp	lep	rf	yield
1932.1667	-0.1169103430	-2.3775852654	-1.9225964251	0.0133702189	0.0372542729
1932.2500	-0.1996500413	-2.2089403185	-1.6977472291	0.0060715309	0.0453507117
1932.3333	-0.2322807461	-2.0176174834	-1.4343243580	0.0032945669	0.0494267563
1932.4167	-0.0097143410	-2.0472234339	-1.4280265716	0.0035437136	0.0496519337
1932.5000	0.2859703108	-2.3716778948	-1.7486859633	0.0037927982	0.0482279054
1932.5833	0.3111369570	-2.7273582413	-2.0700948475	0.0032945669	0.0446380868
1932.6667	-0.0323520836	-2.7280996738	-2.0355965165	0.0020279423	0.0439009896
1932.7500	-0.1401175223	-2.6557285445	-1.8867676276	0.0017684354	0.0435872663
1932.8333	-0.0573860677	-2.6454135471	-1.8292684358	0.0012691942	0.0439909372
1932.9167	0.0437644215	-2.7073983070	-1.8821176386	0.0012691942	0.0436085645
1933.0000	0.0095355629	-2.7416256608	-1.8936914238	0.0012691942	0.0421733636
1933.0833	-0.1422993755	-2.6395477696	-1.6933017128	0.0063199867	0.0380124082
1933.1667	0.0154458586	-2.6778781033	-1.7304968683	0.0151250377	0.0356489566
1933.2500	0.3230730990	-3.0215292728	-2.0872071405	0.0049377890	0.0422625557
1933.3333	0.1919248766	-3.2438953688	-2.2405334915	0.0030353885	0.0424740162
1933.4167	0.1252643198	-3.3818438625	-2.3687795320	0.0025367797	0.0413566323
1933.5000	-0.1012239304	-3.2860865733	-2.2801837110	0.0032945669	0.0398901591
1933.5833	0.1146183792	-3.4340214093	-2.3936414206	0.0017684354	0.0403327406
1933.6667	-0.1118395956	-3.3272423628	-2.2776155457	0.0010094903	0.0414070800
1933.7500	-0.0862304778	-3.2314393010	-2.1881865128	0.0022774047	0.0402072069
1933.8333	0.0947730873	-3.3002199745	-2.2916804300	0.0043007386	0.0418628076
1933.9167	0.0197174643	-3.3463794602	-2.3176271705	0.0063199867	0.0392084644
1934.0000	0.1217314719	-3.4506481294	-2.4220524301	0.0060715309	0.0395450590
1934.0833	-0.0239455213	-3.4202829586	-2.3878458667	0.0027861152	0.0388645386
1934.1667	0.0047086458	-3.4064248584	-2.3915652285	0.0007597113	0.0397102212
1934.2500	-0.0182643096	-3.3738063692	-2.3679945370	0.0007597113	0.0391338523
1934.3333	-0.0734124762	-3.2905696018	-2.2863724644	0.0007597113	0.0385571510
1934.4167	0.0248300873	-3.3035150295	-2.3108855946	0.0007597113	0.0377876983
1934.5000	-0.1146293878	-3.1633820515	-2.1918917217	0.0007597113	0.0374027497
1934.5833	0.0577788482	-3.1636595774	-2.2479907509	0.0010094903	0.0377876983
1934.6667	-0.0029883857	-3.1542408866	-2.2476524014	0.0012691942	0.0378265335
1934.7500	-0.0205722325	-3.1288463203	-2.2177089841	0.0012691942	0.0372492218
1934.8333	0.0806628823	-3.2085299554	-2.3025781097	0.0012691942	0.0366044582
1934.9167	0.0039513568	-3.1816716379	-2.3011329350	0.0010094903	0.0366324079
1935.0000	-0.0327082633	-3.1451200887	-2.2637198096	0.0020279423	0.0349787833
1935.0833	-0.0201190313	-3.1156106035	-2.2273636062	0.0015188460	0.0347166466
1935.1667	-0.0382307024	-3.0678418615	-2.1997681296	0.0015188460	0.0345237454
1935.2500	0.0856298392	-3.1547078905	-2.2960098308	0.0015188460	0.0344272808
1935.3333	0.0341044706	-3.1731469688	-2.3319908805	0.0015188460	0.0343308069
1935.4167	0.0533356462	-3.2148580817	-2.4069451083	0.0015188460	0.0339448183
1935.5000	0.0713277939	-3.2864745826	-2.4856377594	0.0015188460	0.0334621229
1935.5833	0.0273516513	-3.3215680094	-2.5114335941	0.0015188460	0.0338482979
1935.6667	0.0236458298	-3.3205468687	-2.5389796247	0.0020279423	0.0337517681
1935.7500	0.0680172309	-3.3763294594	-2.6166008114	0.0020279423	0.0325667024
1935.8333	0.0502636304	-3.3749438456	-2.6585765359	0.0015188460	0.0331020393
1935.9167	0.0450146366	-3.4039630881	-2.7001415646	0.0015188460	0.0323027025
1936.0000	0.0637773641	-3.4498234390	-2.7670106939	0.0020279423	0.0316257526
1936.0833	0.0256273161	-3.4608141010	-2.7869225131	0.0020279423	0.0306328399
1936.1667	0.0084572635	-3.4598883863	-2.8150469613	0.0020279423	0.0303424377
1936.2500	-0.0819596298	-3.3644038426	-2.7348822058	0.0020279423	0.0303424377
1936.3333	0.0491469478	-3.3579365758	-2.7802710101	0.0020279423	0.0301487894
1936.4167	0.0253637916	-3.3615025901	-2.8110857971	0.0015188460	0.0303673429
1936.5000	0.0618576481	-3.4063295014	-2.8791711291	0.0015188460	0.0302704765
1936.5833	0.0111109437	-3.3654013594	-2.8886775787	0.0016186892	0.0305860713
1936.6667	0.0145155837	-3.3537982534	-2.8918471455	0.0018283276	0.0294765222
1936.7500	0.0674550417	-3.4088266729	-2.9669123631	0.0010094903	0.0302953595
1936.8333	0.0335609646	-3.2900380822	-2.9728248313	0.0011193733	0.0300045632
1936.9167	0.0011599505	-3.2127824032	-2.9692392884	0.0020279423	0.0289105158
1937.0000	0.0320432769	-3.2448638140	-3.0050482393	0.0022275172	0.0283016878
1937.0833	0.0130323161	-3.2463223124	-3.0181684614	0.0025367797	0.0294649295
1937.1667	-0.0043610269	-3.2184656071	-3.0067796298	0.0060715309	0.0276035914
1937.2500	-0.0779043601	-3.1382310231	-2.9174949494	0.0060715309	0.0275566501
1937.3333	-0.0087345568	-3.0999334827	-2.9039885311	0.0045595893	0.0297221757
1937.4167	-0.0418730182	-3.0291380218	-2.8471712400	0.0035437136	0.0289291593
1937.5000	0.0805254423	-3.1079727782	-2.9423432773	0.0032447302	0.0289476573
1937.5833	-0.0467451333	-3.0476423193	-2.8837438487	0.0045595893	0.0278344084
1937.6667	-0.1454025314	-2.8806747570	-2.7283741873	0.0025367797	0.0302456182
1937.7500	-0.0997981569	-2.7832106143	-2.6247251924	0.0025367797	0.0299492145
1937.8333	-0.0872349000	-2.6839374853	-2.5207679607	0.0016186892	0.0313763189
1937.9167	-0.0416540644	-2.6397713950	-2.4718631505	0.0010094903	0.0311856456
1938.0000	0.0082814185	-2.6553435414	-2.4938969732	0.0006098140	0.0305981131
1938.0833	0.0556456055	-2.7172406288	-2.5612052152	0.0006098140	0.0311987121
1938.1667	-0.2701991017	-2.4545057621	-2.2803436011	0.0008596304	0.0311825767
1938.2500	0.1357500938	-2.5950586184	-2.4198088741	0.0001999800	0.0331574283
1938.3333	-0.0398637400	-2.5991497516	-2.3825064423	-0.0003000450	0.0322826209
1938.4167	0.2120068316	-2.8400317868	-2.6113940039	-0.0001600128	0.0326100340
1938.5000	0.0694282056	-2.9200013216	-2.6888021247	0.0004598942	0.0312825308
1938.5833	-0.0277436659	-2.9384176723	-2.6690302258	0.0002999550	0.0310048948
1938.6667	0.0086662651	-2.9865441156	-2.6926930626	0.0002999550	0.0312956066
1938.7500	0.0744971345	-3.0667146167	-2.7708578562	-0.0007502814	0.0317643349
1938.8333	-0.0184340928	-3.1944676471	-2.7435630400	-0.0002500313	0.0311393912
1938.9167	0.0397730891	-3.2923444080	-2.7862760825	-0.0007002451	0.0318663714
1939.0000	-0.0614689000	-3.2327051463	-2.7232857912	-0.0003500613	0.0302960898
1939.0833	0.0341216640	-3.2501251633	-2.7636942502	-0.0007402739	0.0309898257
1939.1667	-0.1268042146	-3.1238770607	-2.6260216706	-0.0001500113	0.0298617902
1939.2500	-0.0026049859	-3.1185626302	-2.6289039714	0.0001499888	0.0296029694
1939.3333	0.0663261522	-3.1657287025	-2.6980354278	-0.0003600648	0.0296375661
1939.4167	-0.0548310087	-3.1007189310	-2.6406152280	-0.0003200512	0.0294920536
1939.5000	0.0964032963	-3.1949494418	-2.7528761560	0.0002499688	0.0291905155
1939.5833	-0.0683067785	-3.0954829492	-2.6879257343	0.0005098700	0.0286289908
1939.6667	0.1483263548	-3.2321421088	-2.8490568995	0.0002499688	0.0317330771
1939.7500	-0.0041455419	-3.2297438256	-2.8405346765	0.0002499688	0.0307640848
1939.8333	-0.0372953675	-3.0951382231	-2.7963585661	-0.0002100221	0.0301489764
1939.9167	0.0296031498	-3.0908834647	-2.8259918293	-0.0002700365	0.0296663464
1940.0000	-0.0248893100	-3.0617447722	-2.7877113307	-0.0009104143	0.0290032606
1940.0833	0.0141697253	-3.0516493854	-2.7916083771	-0.0003600648	0.0298800671
1940.1667	0.0186956815	-3.0667186431	-2.7995852010	-0.0008503615	0.0296856092
1940.2500	0.0014500265	-3.0565169344	-2.7932020854	-0.0004000800	0.0292907969
1940.3333	-0.2486941913	-2.7627128031	-2.5179734047	0.0005098700	0.0283690896
1940.4167	0.0644171969	-2.8178009427	-2.5913424308	0.0004099160	0.0287604613
1940.5000	0.0319567414	-2.8444116573	-2.6210501624	-0.0003800722	0.0290032606
1940.5833	0.0233648066	-2.8353889884	-2.6463193001	-0.0007502814	0.0296826796
1940.6667	0.0227105125	-2.8494843350	-2.6568858112	-0.0002400288	0.0295111473
1940.7500	0.0296369849	-2.8690105059	-2.6946602647	-0.0003100481	0.0281580909
1940.8333	-0.0165698149	-2.8381118084	-2.6512597101	-0.0008503615	0.0287599973
1940.9167	0.0070371045	-2.8342163320	-2.6472482231	-0.0009004052	0.0282203935
1941.0000	-0.0413235611	-2.7935773222	-2.5913749641	-0.0004300925	0.0278889563
1941.0833	-0.0149599071	-2.7663666525	-2.5692139428	0.0004099160	0.0270106796
1941.1667	0.0093540666	-2.7552411845	-2.5660239946	-0.0003600648	0.0281853295
1941.2500	-0.0543823620	-2.7059136536	-2.4925431112	0.0005098700	0.0272998306
1941.3333	0.0141372444	-2.7048187770	-2.4884549006	0.0007097481	0.0272025686
1941.4167	0.0566901817	-2.7368349655	-2.5342198518	0.0005098700	0.0268134257
1941.5000	0.0567272851	-2.7880139895	-2.5808329726	0.0008096721	0.0262216669
1941.5833	0.0004847339	-2.7741691807	-2.5654558451	0.0009095862	0.0261217529
1941.6667	-0.0075347929	-2.7578090668	-2.5488082126	0.0006098140	0.0266187974
1941.7500	-0.0529672488	-2.6989691136	-2.4748405392	0.0010094903	0.0261742899
1941.8333	-0.0198515821	-2.6434713295	-2.4278971143	0.0025367797	0.0250682186
1941.9167	-0.0480847696	-2.5711869084	-2.3775573648	0.0030353885	0.0255872247
1942.0000	0.0055853081	-2.5767316044	-2.3847583320	0.0020279423	0.0263881073
1942.0833	-0.0232128486	-2.5538711951	-2.3460115900	0.0020279423	0.0268322359
1942.1667	-0.0679060619	-2.4782280465	-2.2767056450	0.0022774047	0.0271891641
1942.2500	-0.0442042805	-2.4307693606	-2.2264665238	0.0032945669	0.0258790109
1942.3333	0.0594789902	-2.5054454532	-2.2829428699	0.0035437136	0.0253153149
